seed_node,kategorie,definition,n_files,n_raw_values,raw_values
Tragfaehigkeit,Statik,Statische Tragfähigkeit / Lastabtragung.,2,2,"Tragfähigkeit, Zertifizierung, Brandschutz, Erschließung (n=1); Tragfähigkeit PV-Dach, Wind/Lateral System (n=1)"
Dauerhaftigkeit,Sonstiges,Dauerhaftigkeit / Lebensdauer / Restlebensdauer.,1,1,"Marine Außenklima, Dauerhaftigkeit, Brandschutz (n=1)"
Brandschutz,Bauphysik,Brandschutz / Feuerwiderstand.,0,0,
Datenluecke,Datenluecke,Datenlücke — Wert nicht angegeben oder unbekannt.,0,0,
Feuchteschutz,,,0,0,
Rueckbaubarkeit,,,0,0,
Schadstofffreiheit,,,0,0,
Schallschutz,Bauphysik,"Schallschutz (Luftschall, Trittschall).",0,0,
Waermeschutz,Bauphysik,Wärmeschutz / U-Wert / Energiestandard.,0,0,
