canonical_name,node_id,n_files,n_variants,variants,files
DISRUPT case study,Disrupt_Case_Study,2,2,DISRUPT; DISRUPT case study,55_Great_Suffolk_Street_London.md; Brent_Cross_Town_Primary_Substation_London.md
FEDER und Be.Exemplary,Feder_Und_Be_Exemplary,2,2,Be Exemplary; FEDER und Be.Exemplary,Maison_Vignette_Auderghem.md; Recypark_Demets_Anderlecht.md
Holcim Awards Encouragement Prize 2005–2006 North America,Holcim_Awards_Encouragement_Prize_2005_2006_North_America,1,1,Holcim Awards Encouragement Prize 2005–2006 North America,Big_Dig_Building_Boston.md
Heritage Lottery Fund / National Lottery Heritage Fund,Heritage_Lottery_Fund_National_Lottery_Heritage_Fund,1,1,Heritage Lottery Fund / National Lottery Heritage Fund,Hastings_Pier_Visitor_Centre.md
Provinz Zeeland / Rabobank Groenprojecten,Provinz_Zeeland_Rabobank_Groenprojecten,1,1,Provinz Zeeland / Rabobank Groenprojecten,Jeugdkliniek_Ithaka_Emergis_Kloetinge.md
New European Bauhaus Prize 2024,New_European_Bauhaus_Prize_2024,1,1,New European Bauhaus Prize 2024,Lycee_Michel_Lucius_Conversion_Luxembourg.md
DBU-Förderung; bpb-Förderung für Programm am Tempelhofer Feld,Dbu_Foerderung_Bpb_Foerderung_Fuer_Programm_Am_Tempelhofer_Feld,1,1,DBU-Förderung; bpb-Förderung für Programm am Tempelhofer Feld,Plattenvereinigung_Berlin.md
Urban Innovative Actions / IBA Parkstad,Urban_Innovative_Actions_Iba_Parkstad,1,1,Urban Innovative Actions / IBA Parkstad,Superlocal_Expogebouw_Bleijerheide.md
ERDF / FEDER Brüssel-Hauptstadt,Erdf_Feder_Bruessel_Hauptstadt,1,1,ERDF / FEDER Brüssel-Hauptstadt,Zinneke_Feder_Masui4ever_Brussels.md
