canonical_name,node_id,n_files,n_variants,variants,files
Neubau eines Mehrfamilienhauses aus demontierten Plattenbauteilen,Neubau_Eines_Mehrfamilienhauses_Aus_Demontierten_Plattenbauteilen,1,1,Neubau eines Mehrfamilienhauses aus demontierten Plattenbauteilen,Haus_HOS_Mehrfamilienhaus_Muehlhausen.md
Refurbishment plus 1-/2-geschossige Aufstockung,Refurbishment_Plus_1_2_Geschossige_Aufstockung,1,1,Refurbishment plus 1-/2-geschossige Aufstockung,Holbein_Gardens_London.md
TBC.London retrofit + extension,Tbc_London_Retrofit_Extension,1,1,TBC.London retrofit + extension,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md
318 Oxford Street retrofit,318_Oxford_Street_Retrofit,1,1,318 Oxford Street retrofit,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md
Coworking- und Community-Space,Coworking_Und_Community_Space,1,1,Coworking- und Community-Space,Impact_Hub_Berlin_CRCLR_Fitout.md
Neues Recyclingzentrum ERZ Juch-Areal,Neues_Recyclingzentrum_Erz_Juch_Areal,1,1,Neues Recyclingzentrum ERZ Juch-Areal,Juch_Areal_Recyclingzentrum_Zuerich.md
Aufstockung um 3 Etagen,Aufstockung_Um_3_Etagen,1,1,Aufstockung um 3 Etagen,K118_Kopfbau_Halle_118_Winterthur.md
Reuse and transformation / KA13,Reuse_And_Transformation_Ka13,1,1,Reuse and transformation / KA13,KA13_Kristian_Augusts_gate_13_Oslo.md
Zero-Waste-Zentrum und Hotel,Zero_Waste_Zentrum_Und_Hotel,1,1,Zero-Waste-Zentrum und Hotel,Kamikatsu_Zero_Waste_Center_Hotel_WHY.md
Kindergarten mit Betreuung für Schule Manegg,Kindergarten_Mit_Betreuung_Fuer_Schule_Manegg,1,1,Kindergarten mit Betreuung für Schule Manegg,Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md
Alliander HQ / Liander office,Alliander_Hq_Liander_Office,1,1,Alliander HQ / Liander office,Liander_Alliander_HQ_Duiven.md
Restoration and extension of a former convent to create a town hall,Restoration_And_Extension_Of_A_Former_Convent_To_Create_A_Town_Hall,1,1,Restoration and extension of a former convent to create a town hall,Lo_Reninge_Town_Hall_Facade.md
Metso Lokomotion Technology Centre Phase 1,Metso_Lokomotion_Technology_Centre_Phase_1,1,1,Metso Lokomotion Technology Centre Phase 1,Lokomotion_Technology_Centre_mini_pilot_Tampere.md
"selektiver Rückbau Block 3000, Umbau Block 6000, Neugestaltung Außenanlagen",Selektiver_Rueckbau_Block_3000_Umbau_Block_6000_Neugestaltung_Aussenanlagen,1,1,"selektiver Rückbau Block 3000, Umbau Block 6000, Neugestaltung Außenanlagen",Lycee_Michel_Lucius_Conversion_Luxembourg.md
Maison des économies solidaires et innovantes / Les Canaux,Maison_Des_Conomies_Solidaires_Et_Innovantes_Les_Canaux,1,1,Maison des économies solidaires et innovantes / Les Canaux,Maison_des_Canaux_Paris.md
Neubau mit Reuse + bio-/geobasierten Materialien,Neubau_Mit_Reuse_Bio_Geobasierten_Materialien,1,1,Neubau mit Reuse + bio-/geobasierten Materialien,Maison_Vignette_Auderghem.md
new construction of Montessori School Maassluis,New_Construction_Of_Montessori_School_Maassluis,1,1,new construction of Montessori School Maassluis,Montessori_Maassluis.md
Stichting Montessorischolen Monton / Stichting Montessorischolen Midden-Nederland (Monton),Stichting_Montessorischolen_Monton_Stichting_Montessorischolen_Midden_Nederland_Monton,1,1,Stichting Montessorischolen Monton / Stichting Montessorischolen Midden-Nederland (Monton),Montessori_Maassluis.md
Anculus B.V.,Anculus_B_V,1,1,Anculus B.V.,Montessori_Maassluis.md
großmaßstäbliche Büro-/Mixed-use-Rekonversion,Grossmassstaebliche_Buero_Mixed_Use_Rekonversion,1,1,großmaßstäbliche Büro-/Mixed-use-Rekonversion,Multi_Brussels_Reuse_in_MULTI.md
Renovation and extension; neuer Museumsbau im Blockinneren,Renovation_And_Extension_Neuer_Museumsbau_Im_Blockinneren,1,1,Renovation and extension; neuer Museumsbau im Blockinneren,Musee_de_Folklore_Mouscron.md
Meeting space during DDW 2017,Meeting_Space_During_Ddw_2017,1,1,Meeting space during DDW 2017,Peoples_Pavilion_Eindhoven.md
Forschungs- und Bildungsprojekt zur Recyclingkultur,Forschungs_Und_Bildungsprojekt_Zur_Recyclingkultur,1,1,Forschungs- und Bildungsprojekt zur Recyclingkultur,Plattenvereinigung_Berlin.md
neues PLP Studio,Neues_Plp_Studio,1,1,neues PLP Studio,PLP_London_HQ_Circular_Studio_Fitout.md
Recyclinghaus Hanover/Hannover,Recyclinghaus_Hanover_Hannover,1,1,Recyclinghaus Hanover/Hannover,Recyclinghaus_Hannover.md
Gundlach GmbH & Co. KG Wohnungsunternehmen,Gundlach_Gmbh_Co_Kg_Wohnungsunternehmen,1,1,Gundlach GmbH & Co. KG Wohnungsunternehmen,Recyclinghaus_Hannover.md
Recyclingzentrum und öffentlicher Raum,Recyclingzentrum_Und_Oeffentlicher_Raum,1,1,Recyclingzentrum und öffentlicher Raum,Recypark_Demets_Anderlecht.md
Ferme des Possibles,Ferme_Des_Possibles,1,1,Ferme des Possibles,Resilience_La_Ferme_des_Possibles_Stains.md
Resource Rows,Resource_Rows,1,1,Resource Rows,Resource_Rows_Copenhagen.md
Fabrix Roots in the Sky,Fabrix_Roots_In_The_Sky,1,1,Fabrix Roots in the Sky,Roots_in_the_Sky_Blackfriars_Crown_Court.md
iQ Student Accommodation / Former Blackfriars Crown Court redevelopment,Iq_Student_Accommodation_Former_Blackfriars_Crown_Court_Redevelopment,1,1,iQ Student Accommodation / Former Blackfriars Crown Court redevelopment,Roots_in_the_Sky_Blackfriars_Crown_Court.md
PV-überdachter Gerätebau,Pv_Ueberdachter_Geraetebau,1,1,PV-überdachter Gerätebau,Saxum_Vineyard_Equipment_Barn_Paso_Robles.md
SUPERLOCAL – Super Circular Estate,Superlocal_Super_Circular_Estate,1,1,SUPERLOCAL – Super Circular Estate,Superlocal_Expogebouw_Bleijerheide.md
Circular daycare / kindergarten,Circular_Daycare_Kindergarten,1,1,Circular daycare / kindergarten,Svanen_Kindergarten_Gladsaxe.md
temporärer Stopgap / circular pavilion,Temporaerer_Stopgap_Circular_Pavilion,1,1,temporärer Stopgap / circular pavilion,The_Green_House_Utrecht.md
Transformation zu Community-/Kultur-/Arbeitsgebäude,Transformation_Zu_Community_Kultur_Arbeitsgebaeude,1,1,Transformation zu Community-/Kultur-/Arbeitsgebäude,Thoravej_29_Copenhagen.md
Net-zero / hybrid timber office redevelopment,Net_Zero_Hybrid_Timber_Office_Redevelopment,1,1,Net-zero / hybrid timber office redevelopment,Timber_Square_London.md
TRÆ,Tr,1,1,TRÆ,TRAE_High_Rise_Aarhus.md
20 row houses / terraced houses,20_Row_Houses_Terraced_Houses,1,1,20 row houses / terraced houses,Upcycle_Studios_Copenhagen.md
Verbiest transformation,Verbiest_Transformation,1,1,Verbiest transformation,Verbiest_Karreveld_Brussels.md
Karreveld 1/2,Karreveld_1_2,1,1,Karreveld 1/2,Verbiest_Karreveld_Brussels.md
Villa Welpeloo,Villa_Welpeloo,1,1,Villa Welpeloo,Villa_Welpeloo_Enschede.md
19 soziale Mietwohnungen + Nachbarschaftszentrum,19_Soziale_Mietwohnungen_Nachbarschaftszentrum,1,1,19 soziale Mietwohnungen + Nachbarschaftszentrum,Woongroep_Boschgaard_Den_Bosch.md
Masui4Ever,Masui4ever,1,1,Masui4Ever,Zinneke_Feder_Masui4ever_Brussels.md
Wohnbauprogramm_1000plus_Basel,Wohnbauprogramm_1000plus_Basel,1,1,Wohnbauprogramm_1000plus_Basel,Areal_Walkeweg_Nord.md
Impact_Hub_Berlin_CRCLR,Impact_Hub_Berlin_Crclr,1,1,Impact_Hub_Berlin_CRCLR,Bestandshalle_CRCLR_House.md
BOELL_LAB_Berlin,Boell_Lab_Berlin,1,1,BOELL_LAB_Berlin,BOELL_LAB_Berlin.md
RotorDC_Da_Vinci_Site,Rotordc_Da_Vinci_Site,1,1,RotorDC_Da_Vinci_Site,Da_Vinci_Business_District.md
Lagerplatz_Winterthur,Lagerplatz_Winterthur,1,1,Lagerplatz_Winterthur,K118_Kopfbau_Halle_118_Winterthur.md
VOLLGUT_eG,Vollgut_Eg,1,1,VOLLGUT_eG,Kindl_Areal.md
Berlin_Global_Village,Berlin_Global_Village,1,1,Berlin_Global_Village,Kindl_Areal.md
KINDL_Zentrum_fuer_zeitgenoessische_Kunst,Kindl_Zentrum_Fuer_Zeitgenoessische_Kunst,1,1,KINDL_Zentrum_fuer_zeitgenoessische_Kunst,Kindl_Areal.md
ReUseBox_Heilbronn,Reusebox_Heilbronn,1,1,ReUseBox_Heilbronn,ReUseBox_Heilbronn.md
