canonical_name,node_id,n_files,n_variants,variants,files
Kinder- en jeugdkliniek Ithaka / Emergis,Kinder_En_Jeugdkliniek_Ithaka_Emergis,1,1,Kinder- en jeugdkliniek Ithaka / Emergis,Jeugdkliniek_Ithaka_Emergis_Kloetinge.md
Recyclingzentrum Juch-Areal,Recyclingzentrum_Juch_Areal,1,1,Recyclingzentrum Juch-Areal,Juch_Areal_Recyclingzentrum_Zuerich.md
K.118 / Kopfbau Halle 118,K_118_Kopfbau_Halle_118,1,1,K.118 / Kopfbau Halle 118,K118_Kopfbau_Halle_118_Winterthur.md
KA13 / Kristian Augusts gate 13,Ka13_Kristian_Augusts_Gate_13,1,1,KA13 / Kristian Augusts gate 13,KA13_Kristian_Augusts_gate_13_Oslo.md
Kamikatsu Zero Waste Center / Hotel WHY,Kamikatsu_Zero_Waste_Center_Hotel_Why,1,1,Kamikatsu Zero Waste Center / Hotel WHY,Kamikatsu_Zero_Waste_Center_Hotel_WHY.md
Umbau Kindergarten Mööslistrasse / Kindergarten Manegg,Umbau_Kindergarten_Moeoeslistrasse_Kindergarten_Manegg,1,1,Umbau Kindergarten Mööslistrasse / Kindergarten Manegg,Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md
Liander / Alliander HQ Duiven,Liander_Alliander_Hq_Duiven,1,1,Liander / Alliander HQ Duiven,Liander_Alliander_HQ_Duiven.md
Lo-Reninge Town Hall façade / Stadhuis Lo,Lo_Reninge_Town_Hall_Fa_Ade_Stadhuis_Lo,1,1,Lo-Reninge Town Hall façade / Stadhuis Lo,Lo_Reninge_Town_Hall_Facade.md
Lokomotion Technology Centre mini-pilot,Lokomotion_Technology_Centre_Mini_Pilot,1,1,Lokomotion Technology Centre mini-pilot,Lokomotion_Technology_Centre_mini_pilot_Tampere.md
Conversion of two wings of Lycée Michel Lucius,Conversion_Of_Two_Wings_Of_Lyc_E_Michel_Lucius,1,1,Conversion of two wings of Lycée Michel Lucius,Lycee_Michel_Lucius_Conversion_Luxembourg.md
Maison des Canaux,Maison_Des_Canaux,1,1,Maison des Canaux,Maison_des_Canaux_Paris.md
Mehrow 1st pilot house,Mehrow_1st_Pilot_House,1,1,Mehrow 1st pilot house,Mehrow_Pilot_House.md
Melkinlaituri elementary school and daycare centre,Melkinlaituri_Elementary_School_And_Daycare_Centre,1,1,Melkinlaituri elementary school and daycare centre,Melkinlaituri_Primary_School_Daycare_Centre_Helsinki.md
Montessori Maassluis / Montessorischool Maassluis,Montessori_Maassluis_Montessorischool_Maassluis,1,1,Montessori Maassluis / Montessorischool Maassluis,Montessori_Maassluis.md
MULTI Brussels / Reuse in Multi,Multi_Brussels_Reuse_In_Multi,1,1,MULTI Brussels / Reuse in Multi,Multi_Brussels_Reuse_in_MULTI.md
Musée de Folklore / MUSEF Mouscron,Mus_E_De_Folklore_Musef_Mouscron,1,1,Musée de Folklore / MUSEF Mouscron,Musee_de_Folklore_Mouscron.md
People’s Pavilion,People_S_Pavilion,1,1,People’s Pavilion,Peoples_Pavilion_Eindhoven.md
Plattenpalast Berlin,Plattenpalast_Berlin,1,1,Plattenpalast Berlin,Plattenpalast_Berlin.md
Plattenvereinigung Berlin,Plattenvereinigung_Berlin,1,1,Plattenvereinigung Berlin,Plattenvereinigung_Berlin.md
PLP Architecture HQ / Circular Studio Fit-out,Plp_Architecture_Hq_Circular_Studio_Fit_Out,1,1,PLP Architecture HQ / Circular Studio Fit-out,PLP_London_HQ_Circular_Studio_Fitout.md
Re:Crete footbridge,Re_Crete_Footbridge,1,1,Re:Crete footbridge,ReCrete_footbridge_reused_concrete_blocks.md
Recyclinghaus Hannover,Recyclinghaus_Hannover,1,1,Recyclinghaus Hannover,Recyclinghaus_Hannover.md
Recypark Anderlecht / Recypark Demets,Recypark_Anderlecht_Recypark_Demets,1,1,Recypark Anderlecht / Recypark Demets,Recypark_Demets_Anderlecht.md
Résilience / La Ferme des Possibles,R_Silience_La_Ferme_Des_Possibles,1,1,Résilience / La Ferme des Possibles,Resilience_La_Ferme_des_Possibles_Stains.md
Resource Rows,Resource_Rows,1,1,Resource Rows,Resource_Rows_Copenhagen.md
Roots in the Sky / Blackfriars Crown Court,Roots_In_The_Sky_Blackfriars_Crown_Court,1,1,Roots in the Sky / Blackfriars Crown Court,Roots_in_the_Sky_Blackfriars_Crown_Court.md
Saxum Vineyard Equipment Barn,Saxum_Vineyard_Equipment_Barn,1,1,Saxum Vineyard Equipment Barn,Saxum_Vineyard_Equipment_Barn_Paso_Robles.md
SUPERLOCAL Expogebouw,Superlocal_Expogebouw,1,1,SUPERLOCAL Expogebouw,Superlocal_Expogebouw_Bleijerheide.md
Svanen / The Swan / Børnehuset Svanen,Svanen_The_Swan_B_Rnehuset_Svanen,1,1,Svanen / The Swan / Børnehuset Svanen,Svanen_Kindergarten_Gladsaxe.md
The Green House Utrecht,The_Green_House_Utrecht,1,1,The Green House Utrecht,The_Green_House_Utrecht.md
