value,count,n_files,knoten_kandidat_n>=3,files
16 t / 20 t / 40 t / up to 100 t,1,1,,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md
48 t CO₂,1,1,,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md
20 % project steel repurposed,1,1,,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md
ca. 70 % recycled or sustainable,1,1,,Impact_Hub_Berlin_CRCLR_Fitout.md
80 % sustainable/recycled/upcycled,1,1,,Impact_Hub_Berlin_CRCLR_Fitout.md
fast 600 t CO₂ / gut 40% Reduktion,1,1,,Juch_Areal_Recyclingzentrum_Zuerich.md
14 % Wiederverwendungsrate nach Gewicht,1,1,,K118_Kopfbau_Halle_118_Winterthur.md
41 % Wiederverwendungsrate nach Volumen,1,1,,K118_Kopfbau_Halle_118_Winterthur.md
59 % CO₂-Reduktion / 494 t CO₂,1,1,,K118_Kopfbau_Halle_118_Winterthur.md
ca. 500 t Primärmaterial eingespart,1,1,,K118_Kopfbau_Halle_118_Winterthur.md
Gesamtfläche 4.297 m²,1,1,,KA13_Kristian_Augusts_gate_13_Oslo.md
nahezu/bis 80 % Wiederverwendung,1,1,,KA13_Kristian_Augusts_gate_13_Oslo.md
70 % Treibhausgasreduktion,1,1,,KA13_Kristian_Augusts_gate_13_Oslo.md
"ca. 160 m² HCS, 21 Elemente",1,1,,KA13_Kristian_Augusts_gate_13_Oslo.md
5.557 m²,1,1,,Kamikatsu_Zero_Waste_Center_Hotel_WHY.md
700 Fenster,1,1,,Kamikatsu_Zero_Waste_Center_Hotel_WHY.md
45 Sortierkategorien / teils 44 in offizieller Beschreibung,1,1,,Kamikatsu_Zero_Waste_Center_Hotel_WHY.md
ca. 30 % graue THG-Einsparung,1,1,,Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md
"2,6 → 1,9 kg CO₂e/m²a",1,1,,Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md
"1,9 Mio. CHF Objektkredit",1,1,,Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md
"BREEAM / Energiekennwerte publiziert, Direct-Reuse-Mengen unbekannt",1,1,,Liander_Alliander_HQ_Duiven.md
205 m² wiederverwendete Ziegel,1,1,,Lo_Reninge_Town_Hall_Facade.md
2.700 m²,1,1,,Lycee_Michel_Lucius_Conversion_Luxembourg.md
6.500.000 EUR ohne MwSt,1,1,,Lycee_Michel_Lucius_Conversion_Luxembourg.md
79 % weniger Abbruchabfall,1,1,,Lycee_Michel_Lucius_Conversion_Luxembourg.md
458–792 t CO₂e Einsparung,1,1,,Lycee_Michel_Lucius_Conversion_Luxembourg.md
260 m²,1,1,,Maison_DnA_Asse.md
3.000 Ziegel / 36 m² Fassade,1,1,,Maison_Vignette_Auderghem.md
118 m³; 49 Bauteile; 2005; Bauteilalter ca. 21 Jahre,1,1,,Mehrow_Pilot_House.md
ca. 350 m² / fast 400 m²,1,1,,Melkinlaituri_Primary_School_Daycare_Centre_Helsinki.md
ca. 1.508 m²,1,1,,Montessori_Maassluis.md
1.534 m²,1,1,,Montessori_Maassluis.md
10 educational groups + BSO,1,1,,Montessori_Maassluis.md
mindestens 50 Jahre Nutzungsdauer,1,1,,Montessori_Maassluis.md
44.200 / 45.000 / 45.800 m²,1,1,,Multi_Brussels_Reuse_in_MULTI.md
2 % bzw. 3 % Urban Mining / externe Reuse-Materialien,1,1,,Multi_Brussels_Reuse_in_MULTI.md
30.000 Ziegel / 8 Quellen,1,1,,Musee_de_Folklore_Mouscron.md
25 % Anteil Reuse-Ziegel,1,1,,Musee_de_Folklore_Mouscron.md
250 m²,1,1,,Peoples_Pavilion_Eindhoven.md
100 % borrowed,1,1,,Peoples_Pavilion_Eindhoven.md
"92 % reused/donated, 7 % recycled",1,1,,PLP_London_HQ_Circular_Studio_Fitout.md
75.4 % embodied carbon reduction,1,1,,PLP_London_HQ_Circular_Studio_Fitout.md
175.78 t CO₂ diverted from landfill,1,1,,PLP_London_HQ_Circular_Studio_Fitout.md
−71 % Global Warming Potential gegenüber Recyclingbeton-Alternative; −74 % gegenüber Stahl-Alternative; +9 % gegenüber Holz-Alternative,1,1,,ReCrete_footbridge_reused_concrete_blocks.md
285 m² BGF,1,1,,Recyclinghaus_Hannover.md
160 m² Wohnfläche,1,1,,Recyclinghaus_Hannover.md
90 % Fassadenmaterial wiederverwendet,1,1,,Recyclinghaus_Hannover.md
42 % Altmaterial im Recyclingbeton,1,1,,Recyclinghaus_Hannover.md
ca. 100 t CO₂ gebunden,1,1,,Recyclinghaus_Hannover.md
20 wiederverwendete Bögen,1,1,,Recypark_Demets_Anderlecht.md
5.000 m² built surface,1,1,,Recypark_Demets_Anderlecht.md
