severity,category,element_id,labels,node_id,node_name,property,detail,value_sample
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17242,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153002868467302617,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17243,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153009465537069273,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17244,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153013863583580377,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17245,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155265663397265625,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17246,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153049047955669209,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17247,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153060043071946969,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17248,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153061142583574745,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17249,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153063341606830297,,,Node has no non-empty name property.,
low,blank_list_property,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1725,"['Quelle', 'ExternalLink', 'ResearchDocument']",q_research_circular_construction_reuse_graph_gaps_url_0865d97f,2022-01/2.40_en_-_reclaimed_solid_terracotta_brick_v01_0.pdf,url_redirect_chain,Property is an empty list.,[]
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17250,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153020460653347033,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17251,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155272260467032281,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17252,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157524060280717529,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17253,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159775860094402777,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17254,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1162027659908088025,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17255,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152989674327769306,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17256,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152992972862652634,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17257,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152994072374280410,,,Node has no non-empty name property.,
