property,nodes_with_property,label_count,labels,flags
legal_condition_evidence_origin,1,2,Quelle:1; ResearchDocument:1,provenance_key
legal_condition_evidence_source_ids,1,2,Quelle:1; ResearchDocument:1,provenance_key
legal_condition_ids,1,2,Quelle:1; ResearchDocument:1,
legal_condition_source_edge_ids,1,2,Quelle:1; ResearchDocument:1,provenance_key
menge_kg,1,1,Bauteilgruppe:1,
menge_m,1,1,Bauteilgruppe:1,
methodische_abgrenzung,1,1,Wiederverwendungskette:1,
needs_dossier_extraction,1,1,Programm:1,
prozess,1,1,Wiederverwendungskette:1,
reuse_relevanz_text,1,1,Akteur:1,
software_basis,1,2,Software:1; Tool:1,
