property,nodes_with_property,label_count,labels,flags
name,6647,62,Akteur:679; Akteurrolle:24; Akteurtyp:10; Akzeptanz:7; Aufbereitungsverfahren:62; BauaufgabeIntervention:10; Bauobjektklasse:8; Bauobjektrolle:6; Bauproduktstatus:15; Bausystem:9; Bauteilebene:6; Bauteilgruppe:369; Bauteiltyp:23; Bauweise:6; Bauwerk:186; BauwerkEra:6; Beschaffungsweg:10; Defekt:10; Dossier:100; DossierEntityTarget:2591; ExternalLink:1455; Funktionswechsel:6; Geltungsbereich:6; Huerde:28; HuerdeKategorie:10; LCAModule:5; Land:16; Layer:6; Leistungsanforderung:46; Logistik:10; Marktmodell:11; MatchingQualitaet:9; Material:26; Materialdepot:23; Materialgruppe:11; Methode:13; Norm:103; Nutzung:9; OntologyAnchor:2; Programm:29; Projekt:101; Prozessphase:10; PruefungNachweis:120; Quelle:1772; RechtlicheBedingung:14; ResearchDocument:403; Ressourcenquelle:16; ReuseRule:20; Rueckbauverfahren:5; Schadstoff:9; SectionRef:641; Software:19; Stadt:76; Status:9; Tool:8; Tragwerksprinzip:4; Verbindungstechnik:15; WiederverwendungsArt:11; Wiederverwendungskette:14; Wirtschaft:12; Zertifizierungssystem:8; ZustandsKlasse:6,core
url,5655,5,DataIssue:622; ExternalLink:5026; Quelle:5033; ResearchDocument:193; SectionRef:641,provenance_key
candidate_source_count,5458,22,Akteur:558; Aufbereitungsverfahren:52; Bauteilgruppe:308; Bauteiltyp:8; Bauwerk:173; DataIssue:3693; Dossier:77; Kennwert:164; Leistungsanforderung:41; Material:10; Materialdepot:23; Norm:78; Programm:13; Projekt:98; PruefungNachweis:113; Quelle:79; ResearchDocument:2; ReuseRule:20; Software:10; Tool:4; Verbindungstechnik:3; Wiederverwendungskette:14,provenance_key
quelltyp,5345,6,Dossier:100; ExternalLink:5026; OntologyAnchor:2; Quelle:5343; ResearchDocument:403; SectionRef:641,
extracted_at,5026,4,ExternalLink:5026; Quelle:5026; ResearchDocument:193; SectionRef:634,
url_origin,5026,4,ExternalLink:5026; Quelle:5026; ResearchDocument:193; SectionRef:634,provenance_key
found_at,4986,1,DataIssue:4986,
found_by,4986,1,DataIssue:4986,
ref_label,4986,1,DataIssue:4986,
resolution_note,4986,1,DataIssue:4986,
