label,node_count,distinct_property_keys,property_keys
Kennwert,258,34,bilanzgrenze; candidate_source_count; candidate_source_status; candidate_source_urls; category; einheit; fact_index; id; invalid_candidate_source_urls; kennwert; loader; method; migration_origin; primary_source_url; raw_property; review_status; source_count; source_id; source_resolution_status; source_scope; source_trace_migrated_at; source_trace_migration; source_urls; source_urls_updated_at; strict_candidate_url_array_cleanup; strict_candidate_url_array_cleanup_at; strict_invalid_url_cleanup; strict_invalid_url_cleanup_at; strict_source_url_cleanup; strict_source_url_cleanup_at; wert; wert_max; wert_min; wert_text
LCAModule,5,11,en15978_code; evidence_basis; evidence_confidence; evidence_origin; evidence_source_id; id; migration_origin; name; scope_note; source_scope; source_urls_updated_at
Land,16,12,actor_registry_loader_seen; aliases; asbest_neshap_year; asbest_note; asbest_verbot_jahr; country_iso; country_iso2; id; kmf_grenzwert_jahr; name; pcb_verbot_jahr; source_scope
Layer,6,10,brand_position; evidence_basis; evidence_confidence; evidence_origin; evidence_source_id; id; migration_origin; name; source_scope; source_urls_updated_at
Leistungsanforderung,46,21,aliases; archive_mentioned_in_corpus; archive_mentions; candidate_source_count; candidate_source_status; candidate_source_urls; classified_at; created_by; id; last_seen_by; migration_origin; name; not_yet_referenced_in_corpus; review_status; scope; source_resolution_status; source_scope; source_urls_updated_at; strict_source_url_cleanup; strict_source_url_cleanup_at; topic
Logistik,10,5,id; migration_origin; name; source_scope; source_urls_updated_at
Marktmodell,11,7,id; migration_origin; name; name_full; scope_note; source_scope; source_urls_updated_at
MatchingQualitaet,9,7,id; migration_origin; name; name_full; scope_note; source_scope; source_urls_updated_at
Material,26,22,aliases; archive_mentioned_in_corpus; archive_mentions; candidate_source_count; candidate_source_status; candidate_source_urls; created_by; id; last_seen_by; migration_origin; name; name_full; note; review_status; scope_note; source_resolution_status; source_scope; source_trace_migrated_at; source_trace_migration; source_urls_updated_at; strict_source_url_cleanup; strict_source_url_cleanup_at
Materialdepot,23,22,_archive; candidate_source_count; candidate_source_status; candidate_source_urls; era_unknown; flaeche_m2; id; invalid_candidate_source_urls; is_material_depot; land; migration_origin; name; name_full; nutzung_text; review_status; source_resolution_status; source_scope; source_urls_updated_at; strict_candidate_url_array_cleanup; strict_candidate_url_array_cleanup_at; strict_source_url_cleanup; strict_source_url_cleanup_at
Materialgruppe,11,7,id; migration_origin; name; name_full; scope_note; source_scope; source_urls_updated_at
Methode,13,9,id; migration_origin; name; review_status; source_resolution_status; source_scope; source_trace_migrated_at; source_trace_migration; source_urls_updated_at
Norm,103,34,aliases; candidate_source_count; candidate_source_status; candidate_source_urls; classified_at; country_short; definition; evidence_basis; evidence_confidence; evidence_origin; evidence_source_id; id; invalid_candidate_source_urls; migration_origin; name; name_full; not_yet_referenced_in_corpus; note; repair_phase; repaired_at; review_status; scope; scope_note; source_resolution_status; source_scope; source_trace_migrated_at; source_trace_migration; source_urls_updated_at; standards_body; strict_candidate_url_array_cleanup; strict_candidate_url_array_cleanup_at; strict_source_url_cleanup; strict_source_url_cleanup_at; topic
Nutzung,9,5,id; migration_origin; name; source_scope; source_urls_updated_at
OntologyAnchor,2,16,access_date; actor_registry_loader_seen; hinweis; id; name; name_full; primary_source_url; quelltyp; source_count; source_file; source_resolution_status; source_scope; source_trace_migrated_at; source_trace_migration; source_url_node_ids; source_urls
Programm,29,68,_archive; actor_registry_loader_seen; actor_registry_mentioned; aliases; candidate_source_count; candidate_source_status; candidate_source_urls; classified_at; classified_reason; co2_facts; cost_facts; end_year; eu_contribution_eur; eu_funding_programme; evidence_basis; evidence_confidence; evidence_origin; funding_amount_eur; funding_programme; funding_source; grant_agreement_reference; host_institution; id; import_status; invalid_candidate_source_urls; lead_organisation; migration_origin; name; name_full; needs_dossier_extraction; needs_project_file; node_role; note; original_label; primary_source_url; project_category; quality_tier; quality_tier_computed_by; quality_tier_has_components; quality_tier_has_evidence; quality_tier_has_land; quality_tier_has_metric; quality_tier_has_year; quality_tier_n_bg; quality_tier_n_bg_quantified; quality_tier_n_curated_evidence; reuse_share_facts; review_status; scope_note; short_description; source_count; source_resolution_status; source_scope; source_trace_migrated_at; source_trace_migration; source_urls; source_urls_updated_at; start_year; status; strict_candidate_url_array_cleanup; strict_candidate_url_array_cleanup_at; strict_invalid_url_cleanup; strict_invalid_url_cleanup_at; strict_source_url_cleanup; strict_source_url_cleanup_at; type; usage_countries; usage_project_count
