"entity","id","typed_path","title","build_status","markdown_path","dateien_file_count","imported_source_count"
"akteur","Lendager","akteur/Lendager","Lendager","promoted_phase42","_database/akteur/Lendager/index.md","1","1"
"akteur","Lindner_Group_ReUsed_Products","akteur/Lindner_Group_ReUsed_Products","Lindner Group ReUsed Products","promoted_phase42","_database/akteur/Lindner_Group_ReUsed_Products/index.md","1","1"
"akteur","LXSY_Architektur","akteur/LXSY_Architektur","LXSY Architektur","promoted_phase42","_database/akteur/LXSY_Architektur/index.md","1","1"
"akteur","Madaster","akteur/Madaster","Madaster — vertieftes Forschungsdossier","promoted_phase42","_database/akteur/Madaster/index.md","1","1"
"akteur","Material_Mafia","akteur/Material_Mafia","Material Mafia","promoted_phase42","_database/akteur/Material_Mafia/index.md","1","1"
"akteur","Nachhaltiges_Bauen","akteur/Nachhaltiges_Bauen","Nachhaltiges Bauen","promoted_phase42","_database/akteur/Nachhaltiges_Bauen/index.md","1","1"
"akteur","Natural_Building_Lab","akteur/Natural_Building_Lab","B(e) Ware / Natural Building Lab — vertieftes Forschungsdossier","promoted_phase42","_database/akteur/Natural_Building_Lab/index.md","1","1"
"akteur","PARABASE","akteur/PARABASE","PARABASE — vertieftes Forschungsdossier","promoted_phase42","_database/akteur/PARABASE/index.md","1","1"
"akteur","patrick_teuffel","akteur/patrick_teuffel","Patrick Teuffel — relevance to reuse","promoted_phase42","_database/akteur/patrick_teuffel/index.md","1","1"
"akteur","Phase_Nachhaltigkeit","akteur/Phase_Nachhaltigkeit","Phase Nachhaltigkeit","promoted_phase42","_database/akteur/Phase_Nachhaltigkeit/index.md","1","1"
"akteur","Ramboll_Finland","akteur/Ramboll_Finland","Ramboll Finland","promoted_phase42","_database/akteur/Ramboll_Finland/index.md","1","1"
"akteur","re_source_Stiftung","akteur/re_source_Stiftung","re!source Stiftung e.V.","promoted_phase42","_database/akteur/re_source_Stiftung/index.md","1","1"
"akteur","Restado","akteur/Restado","Restado","promoted_phase42","_database/akteur/Restado/index.md","1","1"
"akteur","ReUse_Berlin","akteur/ReUse_Berlin","ReUse Berlin","promoted_phase42","_database/akteur/ReUse_Berlin/index.md","1","1"
"akteur","Rotor","akteur/Rotor","Rotor","promoted_phase42","_database/akteur/Rotor/index.md","1","1"
"akteur","Rotor_DC","akteur/Rotor_DC","Rotor DC","promoted_phase42","_database/akteur/Rotor_DC/index.md","1","1"
"akteur","Skanska_Finland","akteur/Skanska_Finland","Skanska Finland","promoted_phase42","_database/akteur/Skanska_Finland/index.md","1","1"
"akteur","Superuse_Studios","akteur/Superuse_Studios","Superuse Studios","promoted_phase42","_database/akteur/Superuse_Studios/index.md","1","1"
"akteur","Umacon","akteur/Umacon","Umacon","promoted_phase42","_database/akteur/Umacon/index.md","1","1"
"akteur","Umweltbundesamt","akteur/Umweltbundesamt","Umweltbundesamt","promoted_phase42","_database/akteur/Umweltbundesamt/index.md","1","1"
"akteur","Unternehmerverband_Historische_Baustoffe_UHB","akteur/Unternehmerverband_Historische_Baustoffe_UHB","Unternehmerverband Historische Baustoffe e.V. (UHB)","promoted_phase42","_database/akteur/Unternehmerverband_Historische_Baustoffe_UHB/index.md","1","1"
"akteur","VDI_ZRE","akteur/VDI_ZRE","VDI ZRE","promoted_phase42","_database/akteur/VDI_ZRE/index.md","1","1"
"akteur","Werner_Sobek","akteur/Werner_Sobek","Werner Sobek","promoted_phase42","_database/akteur/Werner_Sobek/index.md","1","1"
"akteur","Wuppertal_Institut","akteur/Wuppertal_Institut","Wuppertal Institut","promoted_phase42","_database/akteur/Wuppertal_Institut/index.md","1","1"
"akteur","Zirkular_GmbH","akteur/Zirkular_GmbH","Zirkular GmbH","promoted_phase42","_database/akteur/Zirkular_GmbH/index.md","1","1"
"akteur","ZRS_Architekten_Ingenieure","akteur/ZRS_Architekten_Ingenieure","ZRS Architekten Ingenieure","promoted_phase42","_database/akteur/ZRS_Architekten_Ingenieure/index.md","1","1"
"akteur_beteiligung","55_Great_Suffolk_Street_London__001__Fabrix","akteur_beteiligung/55_Great_Suffolk_Street_London__001__Fabrix","Fabrix - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","promoted_phase42","_database/akteur_beteiligung/55_Great_Suffolk_Street_London__001__Fabrix/index.md","1","1"
"akteur_beteiligung","55_Great_Suffolk_Street_London__002__Hawkins_Brown","akteur_beteiligung/55_Great_Suffolk_Street_London__002__Hawkins_Brown","Hawkins\\Brown - 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen","promoted_phase42","_database/akteur_beteiligung/55_Great_Suffolk_Street_London__002__Hawkins_Brown/index.md","1","1"
