"canonical_target","entity","id","title","legacy_source_count","target_index"
"akteur/re_source_Stiftung","akteur","re_source_Stiftung","re!source Stiftung e.V.","1","_graph\akteur\re_source_Stiftung\index.md"
"akteur/Restado","akteur","Restado","Restado","1","_graph\akteur\Restado\index.md"
"akteur/ReUse_Berlin","akteur","ReUse_Berlin","ReUse Berlin","1","_graph\akteur\ReUse_Berlin\index.md"
"akteur/Rotor","akteur","Rotor","Rotor","1","_graph\akteur\Rotor\index.md"
"akteur/Rotor_DC","akteur","Rotor_DC","Rotor DC","1","_graph\akteur\Rotor_DC\index.md"
"akteur/Superuse_Studios","akteur","Superuse_Studios","Superuse Studios","1","_graph\akteur\Superuse_Studios\index.md"
"akteur/Umweltbundesamt","akteur","Umweltbundesamt","Umweltbundesamt","1","_graph\akteur\Umweltbundesamt\index.md"
"akteur/Unternehmerverband_Historische_Baustoffe_UHB","akteur","Unternehmerverband_Historische_Baustoffe_UHB","Unternehmerverband Historische Baustoffe e.V. (UHB)","1","_graph\akteur\Unternehmerverband_Historische_Baustoffe_UHB\index.md"
"akteur/VDI_ZRE","akteur","VDI_ZRE","VDI ZRE","1","_graph\akteur\VDI_ZRE\index.md"
"akteur/Werner_Sobek","akteur","Werner_Sobek","Werner Sobek","1","_graph\akteur\Werner_Sobek\index.md"
"akteur/Wuppertal_Institut","akteur","Wuppertal_Institut","Wuppertal Institut","1","_graph\akteur\Wuppertal_Institut\index.md"
"akteur/Zirkular_GmbH","akteur","Zirkular_GmbH","Zirkular GmbH","1","_graph\akteur\Zirkular_GmbH\index.md"
"akteur/ZRS_Architekten_Ingenieure","akteur","ZRS_Architekten_Ingenieure","ZRS Architekten Ingenieure","1","_graph\akteur\ZRS_Architekten_Ingenieure\index.md"
"foerderprogramm/BBSM","foerderprogramm","BBSM","BBSM – Le Bâti Bruxellois, Source de nouveaux Matériaux","1","_graph\foerderprogramm\BBSM\index.md"
"foerderprogramm/FCRBE","foerderprogramm","FCRBE","FCRBE – Facilitating the Circulation of Reclaimed Building Elements in Northwestern Europe","1","_graph\foerderprogramm\FCRBE\index.md"
"foerderprogramm/PREUSE","foerderprogramm","PREUSE","PREUSE – Public Responses to Enable the Use of Salvaged Building Elements","2","_graph\foerderprogramm\PREUSE\index.md"
"foerderprogramm/Reallabor_Be_Ware","foerderprogramm","Reallabor_Be_Ware","Reallabor B(e) Ware – Gebäudetragwerke aus Sekundärmaterialien Made in Berlin","1","_graph\foerderprogramm\Reallabor_Be_Ware\index.md"
"foerderprogramm/Zukunftbau","foerderprogramm","Zukunftbau","Zukunftbau","1","_graph\foerderprogramm\Zukunftbau\index.md"
"software_digitaltool/Abriss_Atlas","software_digitaltool","Abriss_Atlas","Abriss Atlas","1","_graph\software_digitaltool\Abriss_Atlas\index.md"
"software_digitaltool/articonnex","software_digitaltool","articonnex","Articonnex","1","_graph\software_digitaltool\articonnex\index.md"
"software_digitaltool/backacia","software_digitaltool","backacia","Backacia","1","_graph\software_digitaltool\backacia\index.md"
"software_digitaltool/baticycle","software_digitaltool","baticycle","Bâticycle","1","_graph\software_digitaltool\baticycle\index.md"
"software_digitaltool/batiterre","software_digitaltool","batiterre","BatiTerre","1","_graph\software_digitaltool\batiterre\index.md"
"software_digitaltool/batrecup","software_digitaltool","batrecup","BatRecup","1","_graph\software_digitaltool\batrecup\index.md"
"software_digitaltool/baukarussell","software_digitaltool","baukarussell","BauKarussell","1","_graph\software_digitaltool\baukarussell\index.md"
"software_digitaltool/Bauteilboerse_Bremen","software_digitaltool","Bauteilboerse_Bremen","Bauteilbörse Bremen","2","_graph\software_digitaltool\Bauteilboerse_Bremen\index.md"
"software_digitaltool/Bauteilboerse_Hannover","software_digitaltool","Bauteilboerse_Hannover","Bauteilbörse Hannover","1","_graph\software_digitaltool\Bauteilboerse_Hannover\index.md"
"software_digitaltool/bauteilladen_winterthur","software_digitaltool","bauteilladen_winterthur","Bauteilladen Winterthur","1","_graph\software_digitaltool\bauteilladen_winterthur\index.md"
"software_digitaltool/Bauteilnetz_Deutschland","software_digitaltool","Bauteilnetz_Deutschland","Bauteilnetz Deutschland","2","_graph\software_digitaltool\Bauteilnetz_Deutschland\index.md"
"software_digitaltool/BIM","software_digitaltool","BIM","BIM","1","_graph\software_digitaltool\BIM\index.md"
"software_digitaltool/Bonsai_BlenderBIM","software_digitaltool","Bonsai_BlenderBIM","Bonsai BlenderBIM","1","_graph\software_digitaltool\Bonsai_BlenderBIM\index.md"
"software_digitaltool/building_spares_market","software_digitaltool","building_spares_market","Building Spares Market","1","_graph\software_digitaltool\building_spares_market\index.md"
"software_digitaltool/CMEx","software_digitaltool","CMEx","CMEx","1","_graph\software_digitaltool\CMEx\index.md"
"software_digitaltool/Concular_Plattform","software_digitaltool","Concular_Plattform","Concular Plattform","2","_graph\software_digitaltool\Concular_Plattform\index.md"
"software_digitaltool/cornermat_retrival","software_digitaltool","cornermat_retrival","Cornermat / Retrival","1","_graph\software_digitaltool\cornermat_retrival\index.md"
"software_digitaltool/Cycle_Up","software_digitaltool","Cycle_Up","Cycle Up","2","_graph\software_digitaltool\Cycle_Up\index.md"
"software_digitaltool/cycle_zero","software_digitaltool","cycle_zero","Cycle Zéro","1","_graph\software_digitaltool\cycle_zero\index.md"
"software_digitaltool/Dataview","software_digitaltool","Dataview","Dataview","1","_graph\software_digitaltool\Dataview\index.md"
"software_digitaltool/enviromate","software_digitaltool","enviromate","Enviromate","1","_graph\software_digitaltool\enviromate\index.md"
"software_digitaltool/Excess_Materials_Exchange","software_digitaltool","Excess_Materials_Exchange","Excess Materials Exchange","1","_graph\software_digitaltool\Excess_Materials_Exchange\index.md"
"software_digitaltool/gebruiktebouwmaterialen_gbm","software_digitaltool","gebruiktebouwmaterialen_gbm","Gebruiktebouwmaterialen.com / GBM","1","_graph\software_digitaltool\gebruiktebouwmaterialen_gbm\index.md"
"software_digitaltool/genbyg","software_digitaltool","genbyg","Genbyg","1","_graph\software_digitaltool\genbyg\index.md"
"software_digitaltool/GIS_Urban_Mining","software_digitaltool","GIS_Urban_Mining","GIS Urban Mining","1","_graph\software_digitaltool\GIS_Urban_Mining\index.md"
