"target","reference_count","role","legacy_path","action"
"software_digitaltool/Bauteilnetz_Deutschland","2","secondary","akteur\06_bauteilboersen_marktplaetze_handel\Bauteilnetz_Deutschland.md","semantic_split"
"software_digitaltool/Bauteilnetz_Deutschland","2","primary","bauteilboerse\bauteilnetz-deutschland.md","split_platform_profile"
"software_digitaltool/Bauteilboerse_Bremen","2","secondary","akteur\06_bauteilboersen_marktplaetze_handel\Bauteilboerse_Bremen.md","semantic_split"
"software_digitaltool/Bauteilboerse_Bremen","2","primary","bauteilboerse\bauteilboerse-bremen.md","split_platform_profile"
"bauteiltyp/Deckenplatte","2","primary","bauteil\Deckenplatte.md","move_as_knot"
"bauteiltyp/Deckenplatte","2","primary","tragwerkssystem\to_sort\Deckenplatten.md","semantic_review_split"
"dokumenttyp/Gebaeuderessourcenpass","2","secondary","akteur\08_digitale_plattformen_daten\Madaster.md","semantic_split"
"dokumenttyp/Gebaeuderessourcenpass","2","primary","werkzeug\DGNB_Gebaeuderessourcenpass.md","semantic_move"
"software_digitaltool/material_index","2","primary","bauteilboerse\material-index.md","split_platform_profile"
"software_digitaltool/material_index","2","primary","werkzeug\Material_Index.md","semantic_move"
"dokumenttyp/Materialpass","2","primary","dokument\Materialpass.md","move_as_knot"
"dokumenttyp/Materialpass","2","primary","methode\Materialpass.md","semantic_move"
"datenmodell/Materialdatenbank","2","primary","dokument\Materialdatenbank.md","move_as_knot"
"datenmodell/Materialdatenbank","2","secondary","dokument\Opalis_Datenbank.md","move_as_knot"
"fallstudie/ELEMENTA","2","primary","fallstudie\ELEMENTA.md","keep_or_split_case"
"fallstudie/ELEMENTA","2","primary","gebaeude\Elementa.md","split_into_case_graph"
"software_digitaltool/Opalis","2","primary","dokument\Opalis_Datenbank.md","move_as_knot"
"software_digitaltool/Opalis","2","primary","fallstudie\Opalis.md","keep_or_split_case"
"datenmodell/Taxonomie","2","primary","datenmodell\Taxonomie.md","move_as_knot"
"datenmodell/Taxonomie","2","secondary","norm\EU_Taxonomie.md","move_as_knot"
"software_digitaltool/rotordc","2","primary","bauteilboerse\rotordc.md","split_platform_profile"
"software_digitaltool/rotordc","2","primary","werkzeug\RotorDC.md","semantic_move"
"software_digitaltool/material_reuse_portal","2","primary","bauteilboerse\material-reuse-portal.md","split_platform_profile"
"software_digitaltool/material_reuse_portal","2","primary","werkzeug\Material_Reuse_Portal.md","semantic_move"
"datenmodell/Materialpass_Schema","2","primary","datenmodell\Materialpass_Schema.md","move_as_knot"
"datenmodell/Materialpass_Schema","2","secondary","methode\Materialpass.md","semantic_move"
"software_digitaltool/Concular_Plattform","2","secondary","akteur\05_reuse_beratung_prozessdienstleister\Concular.md","semantic_split"
"software_digitaltool/Concular_Plattform","2","primary","werkzeug\Concular_Plattform.md","semantic_move"
