"target","reference_count","role","legacy_path","action"
"beschaffungsweg/Digitale_Plattform","41","secondary","bauteilboerse\enviromate.md","split_platform_profile"
"beschaffungsweg/Digitale_Plattform","41","secondary","bauteilboerse\gebruiktebouwmaterialen-gbm.md","split_platform_profile"
"beschaffungsweg/Digitale_Plattform","41","secondary","bauteilboerse\genbyg.md","split_platform_profile"
"beschaffungsweg/Digitale_Plattform","41","secondary","bauteilboerse\globechain.md","split_platform_profile"
"beschaffungsweg/Digitale_Plattform","41","secondary","bauteilboerse\insert-marketplace.md","split_platform_profile"
"beschaffungsweg/Digitale_Plattform","41","secondary","bauteilboerse\loopfront.md","split_platform_profile"
"beschaffungsweg/Digitale_Plattform","41","secondary","bauteilboerse\materialenbank-leuven-atelier-circuler.md","split_platform_profile"
"beschaffungsweg/Digitale_Plattform","41","secondary","bauteilboerse\material-index.md","split_platform_profile"
"beschaffungsweg/Digitale_Plattform","41","secondary","bauteilboerse\materialrest24.md","split_platform_profile"
"beschaffungsweg/Digitale_Plattform","41","secondary","bauteilboerse\material-reuse-portal.md","split_platform_profile"
"beschaffungsweg/Digitale_Plattform","41","secondary","bauteilboerse\oogstkaart-new-horizon.md","split_platform_profile"
"beschaffungsweg/Digitale_Plattform","41","secondary","bauteilboerse\raedificare.md","split_platform_profile"
"beschaffungsweg/Digitale_Plattform","41","secondary","bauteilboerse\reempro.md","split_platform_profile"
"beschaffungsweg/Digitale_Plattform","41","secondary","bauteilboerse\resource-marktplaats.md","split_platform_profile"
"beschaffungsweg/Digitale_Plattform","41","secondary","bauteilboerse\restado.md","split_platform_profile"
"beschaffungsweg/Digitale_Plattform","41","secondary","bauteilboerse\re-store-harvestmap-vienna.md","split_platform_profile"
"beschaffungsweg/Digitale_Plattform","41","secondary","bauteilboerse\reuse-and-trade.md","split_platform_profile"
"beschaffungsweg/Digitale_Plattform","41","secondary","bauteilboerse\rotordc.md","split_platform_profile"
"beschaffungsweg/Digitale_Plattform","41","secondary","bauteilboerse\r-place.md","split_platform_profile"
"beschaffungsweg/Digitale_Plattform","41","secondary","bauteilboerse\salvoweb.md","split_platform_profile"
"beschaffungsweg/Digitale_Plattform","41","secondary","bauteilboerse\salza.md","split_platform_profile"
"beschaffungsweg/Digitale_Plattform","41","secondary","bauteilboerse\skop-marketplace.md","split_platform_profile"
"beschaffungsweg/Digitale_Plattform","41","secondary","bauteilboerse\surplus-building-and-plumbing-materials.md","split_platform_profile"
"beschaffungsweg/Digitale_Plattform","41","secondary","bauteilboerse\sustainability-yard.md","split_platform_profile"
"beschaffungsweg/Digitale_Plattform","41","secondary","bauteilboerse\useagain-bauteilclick.md","split_platform_profile"
"beschaffungsweg/Digitale_Plattform","41","secondary","bauteilboerse\warp-it.md","split_platform_profile"
"beschaffungsweg/Digitale_Plattform","41","secondary","bauteilbörse.md","merge_into_index"
"plattformfunktion/Material_Matching","39","secondary","bauteilboerse\articonnex.md","split_platform_profile"
"plattformfunktion/Material_Matching","39","secondary","bauteilboerse\backacia.md","split_platform_profile"
"plattformfunktion/Material_Matching","39","secondary","bauteilboerse\baticycle.md","split_platform_profile"
"plattformfunktion/Material_Matching","39","secondary","bauteilboerse\batiterre.md","split_platform_profile"
"plattformfunktion/Material_Matching","39","secondary","bauteilboerse\batrecup.md","split_platform_profile"
"plattformfunktion/Material_Matching","39","secondary","bauteilboerse\baukarussell.md","split_platform_profile"
"plattformfunktion/Material_Matching","39","secondary","bauteilboerse\bauteilboerse-bremen.md","split_platform_profile"
"plattformfunktion/Material_Matching","39","secondary","bauteilboerse\bauteilladen-winterthur.md","split_platform_profile"
"plattformfunktion/Material_Matching","39","secondary","bauteilboerse\bauteilnetz-deutschland.md","split_platform_profile"
"plattformfunktion/Material_Matching","39","secondary","bauteilboerse\building-spares-market.md","split_platform_profile"
"plattformfunktion/Material_Matching","39","secondary","bauteilboerse\cornermat-retrival.md","split_platform_profile"
"plattformfunktion/Material_Matching","39","secondary","bauteilboerse\cycle-up.md","split_platform_profile"
"plattformfunktion/Material_Matching","39","secondary","bauteilboerse\cycle-zero.md","split_platform_profile"
"plattformfunktion/Material_Matching","39","secondary","bauteilboerse\enviromate.md","split_platform_profile"
"plattformfunktion/Material_Matching","39","secondary","bauteilboerse\gebruiktebouwmaterialen-gbm.md","split_platform_profile"
"plattformfunktion/Material_Matching","39","secondary","bauteilboerse\genbyg.md","split_platform_profile"
"plattformfunktion/Material_Matching","39","secondary","bauteilboerse\globechain.md","split_platform_profile"
"plattformfunktion/Material_Matching","39","secondary","bauteilboerse\insert-marketplace.md","split_platform_profile"
"plattformfunktion/Material_Matching","39","secondary","bauteilboerse\loopfront.md","split_platform_profile"
"plattformfunktion/Material_Matching","39","secondary","bauteilboerse\materialenbank-leuven-atelier-circuler.md","split_platform_profile"
"plattformfunktion/Material_Matching","39","secondary","bauteilboerse\material-index.md","split_platform_profile"
"plattformfunktion/Material_Matching","39","secondary","bauteilboerse\materialrest24.md","split_platform_profile"
"plattformfunktion/Material_Matching","39","secondary","bauteilboerse\material-reuse-portal.md","split_platform_profile"
"plattformfunktion/Material_Matching","39","secondary","bauteilboerse\oogstkaart-new-horizon.md","split_platform_profile"
"plattformfunktion/Material_Matching","39","secondary","bauteilboerse\raedificare.md","split_platform_profile"
"plattformfunktion/Material_Matching","39","secondary","bauteilboerse\reempro.md","split_platform_profile"
"plattformfunktion/Material_Matching","39","secondary","bauteilboerse\resource-marktplaats.md","split_platform_profile"
"plattformfunktion/Material_Matching","39","secondary","bauteilboerse\restado.md","split_platform_profile"
"plattformfunktion/Material_Matching","39","secondary","bauteilboerse\re-store-harvestmap-vienna.md","split_platform_profile"
"plattformfunktion/Material_Matching","39","secondary","bauteilboerse\reuse-and-trade.md","split_platform_profile"
"plattformfunktion/Material_Matching","39","secondary","bauteilboerse\rotordc.md","split_platform_profile"
"plattformfunktion/Material_Matching","39","secondary","bauteilboerse\r-place.md","split_platform_profile"
"plattformfunktion/Material_Matching","39","secondary","bauteilboerse\salvoweb.md","split_platform_profile"
"plattformfunktion/Material_Matching","39","secondary","bauteilboerse\salza.md","split_platform_profile"
"plattformfunktion/Material_Matching","39","secondary","bauteilboerse\skop-marketplace.md","split_platform_profile"
"plattformfunktion/Material_Matching","39","secondary","bauteilboerse\surplus-building-and-plumbing-materials.md","split_platform_profile"
"plattformfunktion/Material_Matching","39","secondary","bauteilboerse\sustainability-yard.md","split_platform_profile"
"plattformfunktion/Material_Matching","39","secondary","bauteilboerse\useagain-bauteilclick.md","split_platform_profile"
"plattformfunktion/Material_Matching","39","secondary","bauteilboerse\warp-it.md","split_platform_profile"
"akteurtyp/planung_architektur_ingenieurwesen","12","secondary","akteur\04_planung_architektur_ingenieurwesen\baubuero_in_situ_zirkular.md","move_as_core"
"akteurtyp/planung_architektur_ingenieurwesen","12","secondary","akteur\04_planung_architektur_ingenieurwesen\Bellastock.md","move_as_core"
"akteurtyp/planung_architektur_ingenieurwesen","12","secondary","akteur\04_planung_architektur_ingenieurwesen\Circular_Structural_Design.md","move_as_core"
"akteurtyp/planung_architektur_ingenieurwesen","12","secondary","akteur\04_planung_architektur_ingenieurwesen\CITYFOERSTER.md","move_as_core"
"akteurtyp/planung_architektur_ingenieurwesen","12","secondary","akteur\04_planung_architektur_ingenieurwesen\Huetten_und_Palaeste.md","move_as_core"
"akteurtyp/planung_architektur_ingenieurwesen","12","secondary","akteur\04_planung_architektur_ingenieurwesen\Lendager.md","move_as_core"
"akteurtyp/planung_architektur_ingenieurwesen","12","secondary","akteur\04_planung_architektur_ingenieurwesen\LXSY_Architektur.md","move_as_core"
"akteurtyp/planung_architektur_ingenieurwesen","12","secondary","akteur\04_planung_architektur_ingenieurwesen\PARABASE.md","move_as_core"
"akteurtyp/planung_architektur_ingenieurwesen","12","secondary","akteur\04_planung_architektur_ingenieurwesen\Rotor.md","move_as_core"
"akteurtyp/planung_architektur_ingenieurwesen","12","secondary","akteur\04_planung_architektur_ingenieurwesen\Superuse_Studios.md","move_as_core"
"akteurtyp/planung_architektur_ingenieurwesen","12","secondary","akteur\04_planung_architektur_ingenieurwesen\Werner_Sobek.md","move_as_core"
"akteurtyp/planung_architektur_ingenieurwesen","12","secondary","akteur\04_planung_architektur_ingenieurwesen\ZRS_Architekten_Ingenieure.md","move_as_core"
"akteurtyp/kammern_verbaende_ngos_netzwerke","8","secondary","akteur\02_kammern_verbaende_ngos_netzwerke\Architects_for_Future_Deutschland.md","move_as_core"
"akteurtyp/kammern_verbaende_ngos_netzwerke","8","secondary","akteur\02_kammern_verbaende_ngos_netzwerke\Architektenkammer_Berlin_A_Wie_Zirkulaer.md","move_as_core"
"akteurtyp/kammern_verbaende_ngos_netzwerke","8","secondary","akteur\02_kammern_verbaende_ngos_netzwerke\BDA_Bund_Deutscher_Architektinnen_Architekten.md","move_as_core"
"akteurtyp/kammern_verbaende_ngos_netzwerke","8","secondary","akteur\02_kammern_verbaende_ngos_netzwerke\C2C_NGO.md","move_as_core"
"akteurtyp/kammern_verbaende_ngos_netzwerke","8","secondary","akteur\02_kammern_verbaende_ngos_netzwerke\Circular_Berlin.md","move_as_core"
"akteurtyp/kammern_verbaende_ngos_netzwerke","8","secondary","akteur\02_kammern_verbaende_ngos_netzwerke\DGNB.md","move_as_core"
"akteurtyp/kammern_verbaende_ngos_netzwerke","8","secondary","akteur\02_kammern_verbaende_ngos_netzwerke\Phase_Nachhaltigkeit.md","move_as_core"
"akteurtyp/kammern_verbaende_ngos_netzwerke","8","secondary","akteur\02_kammern_verbaende_ngos_netzwerke\re_source_Stiftung.md","move_as_core"
