"source","relation","target","raw_label","confidence","resolution_rule","legacy_path"
"reuse_einsatz/Boulder_Fire_Station_3__001__Wide_flange_beams_structural_steel_members","has_methode","methode/Bauteilkatalogisierung","selektiver Rückbau, Katalogisierung, Reinigung, Vorbereitung, Re-Fabrication","rule_high","label_50u_has_methode_eingriff",""
"reuse_einsatz/Boulder_Fire_Station_3__002__Stahlstockpile_gesamt","has_methode","methode/Bauteilkatalogisierung","Katalogisierung/Stockpile","rule_high","label_50u_has_methode_eingriff",""
"reuse_einsatz/Juch_Areal_Recyclingzentrum_Zuerich__005__Bauteilkatalog_Elemente","has_methode","methode/Bauteilkatalogisierung","Erfassung/Katalogisierung","rule_high","label_50u_has_methode_eingriff",""
"reuse_einsatz/K118_Kopfbau_Halle_118_Winterthur__001__Stahltr_ger_St_tzen","has_methode","methode/Bauteilkatalogisierung","Demontage, Katalogisierung, Wiedereinbau","rule_high","label_50u_has_methode_eingriff",""
