"source","relation","old_target","new_target","raw_label","old_confidence","new_confidence","old_resolution_rule","new_resolution_rule"
"reuse_einsatz/Plattenvereinigung_Berlin__006__Fenster_T_ren_Dach_TGA_Sanit_r_Beleuchtung_feste","has_bauteiltyp","bauteiltyp/Sanitaerobjekt","bauteiltyp/Technik","Fenster/Türen/Dach/TGA/Sanitär/Beleuchtung/feste Einbauten","rule_high","rule_high","bauteil_sanitary","manual_40b_consolidate_Sanitaerobjekt"
"reuse_einsatz/Plattenvereinigung_Berlin__006__Fenster_T_ren_Dach_TGA_Sanit_r_Beleuchtung_feste","has_bauteiltyp","bauteiltyp/Technik_TGA","bauteiltyp/Technik","Fenster/Türen/Dach/TGA/Sanitär/Beleuchtung/feste Einbauten","rule_medium","manual_high","bauteil_tga","manual_40b_consolidate_Technik_TGA"
"reuse_einsatz/PLP_London_HQ_Circular_Studio_Fitout__006__technische_Komponenten","has_bauteiltyp","bauteiltyp/Technik_TGA","bauteiltyp/Technik","technische Komponenten","rule_medium","manual_high","bauteil_tga","manual_40b_consolidate_Technik_TGA"
"reuse_einsatz/ReCrete_footbridge_reused_concrete_blocks__004__Gel_nder_Belag_Beleuchtung_TGA_Sanit_r","has_bauteiltyp","bauteiltyp/Leuchte","bauteiltyp/Technik","Geländer, Belag, Beleuchtung, TGA, Sanitär","rule_high","rule_high","bauteil_lighting","manual_40b_consolidate_Leuchte"
"reuse_einsatz/ReCrete_footbridge_reused_concrete_blocks__004__Gel_nder_Belag_Beleuchtung_TGA_Sanit_r","has_bauteiltyp","bauteiltyp/Sanitaerobjekt","bauteiltyp/Technik","Geländer, Belag, Beleuchtung, TGA, Sanitär","rule_high","rule_high","bauteil_sanitary","manual_40b_consolidate_Sanitaerobjekt"
"reuse_einsatz/ReCrete_footbridge_reused_concrete_blocks__004__Gel_nder_Belag_Beleuchtung_TGA_Sanit_r","has_bauteiltyp","bauteiltyp/Technik_TGA","bauteiltyp/Technik","Geländer, Belag, Beleuchtung, TGA, Sanitär","rule_medium","manual_high","bauteil_tga","manual_40b_consolidate_Technik_TGA"
"reuse_einsatz/Recyclinghaus_Hannover__010__Waschbecken_Sanit_r","has_bauteiltyp","bauteiltyp/Sanitaerobjekt","bauteiltyp/Technik","Waschbecken / Sanitär","rule_high","rule_high","bauteil_sanitary","manual_40b_consolidate_Sanitaerobjekt"
"reuse_einsatz/Recypark_Demets_Anderlecht__004__PV_Anlage","has_bauteiltyp","bauteiltyp/PV_Anlage","bauteiltyp/Technik","PV-Anlage","rule_high","rule_high","bauteil_pv","manual_40b_consolidate_PV_Anlage"
"reuse_einsatz/Recypark_Demets_Anderlecht__008__TGA_Sanit_r_Beleuchtung","has_bauteiltyp","bauteiltyp/Leuchte","bauteiltyp/Technik","TGA / Sanitär / Beleuchtung","rule_high","rule_high","bauteil_lighting","manual_40b_consolidate_Leuchte"
"reuse_einsatz/Recypark_Demets_Anderlecht__008__TGA_Sanit_r_Beleuchtung","has_bauteiltyp","bauteiltyp/Sanitaerobjekt","bauteiltyp/Technik","TGA / Sanitär / Beleuchtung","rule_high","rule_high","bauteil_sanitary","manual_40b_consolidate_Sanitaerobjekt"
"reuse_einsatz/Recypark_Demets_Anderlecht__008__TGA_Sanit_r_Beleuchtung","has_bauteiltyp","bauteiltyp/Technik_TGA","bauteiltyp/Technik","TGA / Sanitär / Beleuchtung","rule_medium","manual_high","bauteil_tga","manual_40b_consolidate_Technik_TGA"
"reuse_einsatz/Resilience_La_Ferme_des_Possibles_Stains__008__Leuchten","has_bauteiltyp","bauteiltyp/Leuchte","bauteiltyp/Technik","Leuchten","rule_high","rule_high","bauteil_lighting","manual_40b_consolidate_Leuchte"
"reuse_einsatz/Resilience_La_Ferme_des_Possibles_Stains__009__Obstk_rbe_als_Lampenschirme","has_bauteiltyp","bauteiltyp/Leuchte","bauteiltyp/Technik","Obstkörbe als Lampenschirme","rule_high","rule_high","bauteil_lighting","manual_40b_consolidate_Leuchte"
"reuse_einsatz/Resilience_La_Ferme_des_Possibles_Stains__010__WC_und_Handwaschbecken","has_bauteiltyp","bauteiltyp/Sanitaerobjekt","bauteiltyp/Technik","WC und Handwaschbecken","rule_high","rule_high","bauteil_sanitary","manual_40b_consolidate_Sanitaerobjekt"
"reuse_einsatz/Resilience_La_Ferme_des_Possibles_Stains__011__Radiatoren","has_bauteiltyp","bauteiltyp/Technik_TGA","bauteiltyp/Technik","Radiatoren","rule_high","rule_high","bauteil_heizkoerper","manual_40b_consolidate_Technik_TGA"
"reuse_einsatz/Resilience_La_Ferme_des_Possibles_Stains__014__Akustik_Baffles","has_bauteiltyp","bauteiltyp/Akustikelement","bauteiltyp/Ausbau","Akustik-Baffles","rule_high","rule_high","bauteil_akustik","manual_40b_consolidate_Akustikelement"
"reuse_einsatz/Resource_Rows_Copenhagen__007__Sanit_r_TGA","has_bauteiltyp","bauteiltyp/Sanitaerobjekt","bauteiltyp/Technik","Sanitär / TGA","rule_high","rule_high","bauteil_sanitary","manual_40b_consolidate_Sanitaerobjekt"
"reuse_einsatz/Resource_Rows_Copenhagen__007__Sanit_r_TGA","has_bauteiltyp","bauteiltyp/Technik_TGA","bauteiltyp/Technik","Sanitär / TGA","rule_medium","manual_high","bauteil_tga","manual_40b_consolidate_Technik_TGA"
"reuse_einsatz/Roots_in_the_Sky_Blackfriars_Crown_Court__007__T_ren_Treppen_Gel_nder_TGA_Sanit_r_Beleuchtung_f","has_bauteiltyp","bauteiltyp/Festes_Einbauteil","bauteiltyp/Ausbau","Türen, Treppen, Geländer, TGA, Sanitär, Beleuchtung, feste Einbauten","rule_medium","manual_high","bauteil_festes_einbauteil","manual_40b_consolidate_Festes_Einbauteil"
"reuse_einsatz/Roots_in_the_Sky_Blackfriars_Crown_Court__007__T_ren_Treppen_Gel_nder_TGA_Sanit_r_Beleuchtung_f","has_bauteiltyp","bauteiltyp/Innenausbau","bauteiltyp/Ausbau","Türen, Treppen, Geländer, TGA, Sanitär, Beleuchtung, feste Einbauten","rule_medium","manual_high","bauteil_innenausbau","manual_40b_consolidate_Innenausbau"
"reuse_einsatz/Roots_in_the_Sky_Blackfriars_Crown_Court__007__T_ren_Treppen_Gel_nder_TGA_Sanit_r_Beleuchtung_f","has_bauteiltyp","bauteiltyp/Leuchte","bauteiltyp/Technik","Türen, Treppen, Geländer, TGA, Sanitär, Beleuchtung, feste Einbauten","rule_high","rule_high","bauteil_lighting","manual_40b_consolidate_Leuchte"
"reuse_einsatz/Roots_in_the_Sky_Blackfriars_Crown_Court__007__T_ren_Treppen_Gel_nder_TGA_Sanit_r_Beleuchtung_f","has_bauteiltyp","bauteiltyp/Sanitaerobjekt","bauteiltyp/Technik","Türen, Treppen, Geländer, TGA, Sanitär, Beleuchtung, feste Einbauten","rule_high","rule_high","bauteil_sanitary","manual_40b_consolidate_Sanitaerobjekt"
"reuse_einsatz/Roots_in_the_Sky_Blackfriars_Crown_Court__007__T_ren_Treppen_Gel_nder_TGA_Sanit_r_Beleuchtung_f","has_bauteiltyp","bauteiltyp/Technik_TGA","bauteiltyp/Technik","Türen, Treppen, Geländer, TGA, Sanitär, Beleuchtung, feste Einbauten","rule_medium","manual_high","bauteil_tga","manual_40b_consolidate_Technik_TGA"
"reuse_einsatz/Saxum_Vineyard_Equipment_Barn_Paso_Robles__002__Dachtragwerk_Rohrtr_ger","has_bauteiltyp","bauteiltyp/Technik_TGA","bauteiltyp/Technik","Dachtragwerk / Rohrträger","rule_medium","manual_high","bauteil_tga","manual_40b_consolidate_Technik_TGA"
"reuse_einsatz/Saxum_Vineyard_Equipment_Barn_Paso_Robles__011__TGA","has_bauteiltyp","bauteiltyp/Technik_TGA","bauteiltyp/Technik","TGA","rule_medium","manual_high","bauteil_tga","manual_40b_consolidate_Technik_TGA"
"reuse_einsatz/Superlocal_Expogebouw_Bleijerheide__002__Aluminiumrohre","has_bauteiltyp","bauteiltyp/Technik_TGA","bauteiltyp/Technik","Aluminiumrohre","rule_medium","manual_high","bauteil_tga","manual_40b_consolidate_Technik_TGA"
