"legacy_path","action","risk_flags","legacy_type","map_title","raw_target","canonical_target","target_role","target_primary","target_secondary"
"akteur\04_planung_architektur_ingenieurwesen\LXSY_Architektur.md","move_as_core","","","LXSY Architektur","akteur/LXSY_Architektur","akteur/LXSY_Architektur","primary","akteur/LXSY_Architektur","akteurtyp/planung_architektur_ingenieurwesen"
"akteur\04_planung_architektur_ingenieurwesen\PARABASE.md","move_as_core","","","","akteur/PARABASE","akteur/PARABASE","primary","akteur/PARABASE","akteurtyp/planung_architektur_ingenieurwesen"
"akteur\04_planung_architektur_ingenieurwesen\Rotor.md","move_as_core","","","Rotor","akteur/Rotor","akteur/Rotor","primary","akteur/Rotor","akteurtyp/planung_architektur_ingenieurwesen"
"akteur\04_planung_architektur_ingenieurwesen\Superuse_Studios.md","move_as_core","","","Superuse Studios","akteur/Superuse_Studios","akteur/Superuse_Studios","primary","akteur/Superuse_Studios","akteurtyp/planung_architektur_ingenieurwesen"
"akteur\04_planung_architektur_ingenieurwesen\Werner_Sobek.md","move_as_core","","","","akteur/Werner_Sobek","akteur/Werner_Sobek","primary","akteur/Werner_Sobek","akteurtyp/planung_architektur_ingenieurwesen"
"akteur\04_planung_architektur_ingenieurwesen\ZRS_Architekten_Ingenieure.md","move_as_core","","","ZRS Architekten Ingenieure","akteur/ZRS_Architekten_Ingenieure","akteur/ZRS_Architekten_Ingenieure","primary","akteur/ZRS_Architekten_Ingenieure","akteurtyp/planung_architektur_ingenieurwesen"
"akteur\05_reuse_beratung_prozessdienstleister\Concular.md","semantic_split","hybrid_actor_platform_profile;duplicate_with_werkzeug_Concular_Plattform_and_bauteilboerse_restado","","","akteur/Concular","akteur/Concular","primary","akteur/Concular","software_digitaltool/Concular_Plattform; software_digitaltool/Restado; methode/Pre_Deconstruction_Audit; datenmodell/Gebaeuderessourcenpass; beschaffungsweg/Digitale_Plattform"
"akteur\05_reuse_beratung_prozessdienstleister\Concular.md","semantic_split","hybrid_actor_platform_profile;duplicate_with_werkzeug_Concular_Plattform_and_bauteilboerse_restado","","","software_digitaltool/Concular_Plattform","software_digitaltool/Concular_Plattform","secondary","akteur/Concular","software_digitaltool/Concular_Plattform; software_digitaltool/Restado; methode/Pre_Deconstruction_Audit; datenmodell/Gebaeuderessourcenpass; beschaffungsweg/Digitale_Plattform"
"akteur\05_reuse_beratung_prozessdienstleister\Concular.md","semantic_split","hybrid_actor_platform_profile;duplicate_with_werkzeug_Concular_Plattform_and_bauteilboerse_restado","","","software_digitaltool/Restado","software_digitaltool/Restado","secondary","akteur/Concular","software_digitaltool/Concular_Plattform; software_digitaltool/Restado; methode/Pre_Deconstruction_Audit; datenmodell/Gebaeuderessourcenpass; beschaffungsweg/Digitale_Plattform"
"akteur\05_reuse_beratung_prozessdienstleister\Drees_und_Sommer.md","move_as_core","","","Drees & Sommer","akteur/Drees_und_Sommer","akteur/Drees_und_Sommer","primary","akteur/Drees_und_Sommer","akteurtyp/reuse_beratung_prozessdienstleister"
"akteur\05_reuse_beratung_prozessdienstleister\EPEA.md","move_as_core","","","","akteur/EPEA","akteur/EPEA","primary","akteur/EPEA","akteurtyp/reuse_beratung_prozessdienstleister"
"akteur\05_reuse_beratung_prozessdienstleister\Zirkular_GmbH.md","move_as_core","","","Zirkular GmbH","akteur/Zirkular_GmbH","akteur/Zirkular_GmbH","primary","akteur/Zirkular_GmbH","akteurtyp/reuse_beratung_prozessdienstleister"
"akteur\06_bauteilboersen_marktplaetze_handel\Bauteilboerse_Bremen.md","semantic_split","market_actor_platform_overlap;check_against_bauteilboerse_and_werkzeug_duplicates","","","akteur/Bauteilboerse_Bremen","akteur/Bauteilboerse_Bremen","primary","akteur/Bauteilboerse_Bremen","software_digitaltool/Bauteilboerse_Bremen; tooltyp/Bauteilboerse; beschaffungsweg/Bauteilboerse; ressourcenquelle/Bauteilboerse"
"akteur\06_bauteilboersen_marktplaetze_handel\Bauteilboerse_Bremen.md","semantic_split","market_actor_platform_overlap;check_against_bauteilboerse_and_werkzeug_duplicates","","","software_digitaltool/Bauteilboerse_Bremen","software_digitaltool/Bauteilboerse_Bremen","secondary","akteur/Bauteilboerse_Bremen","software_digitaltool/Bauteilboerse_Bremen; tooltyp/Bauteilboerse; beschaffungsweg/Bauteilboerse; ressourcenquelle/Bauteilboerse"
"akteur\06_bauteilboersen_marktplaetze_handel\Bauteilboerse_Hannover.md","semantic_split","market_actor_platform_overlap;check_against_bauteilboerse_and_werkzeug_duplicates","","Bauteilb̦rse Hannover","akteur/Bauteilboerse_Hannover","akteur/Bauteilboerse_Hannover","primary","akteur/Bauteilboerse_Hannover","software_digitaltool/Bauteilboerse_Hannover; tooltyp/Bauteilboerse; beschaffungsweg/Bauteilboerse; ressourcenquelle/Bauteilboerse"
"akteur\06_bauteilboersen_marktplaetze_handel\Bauteilboerse_Hannover.md","semantic_split","market_actor_platform_overlap;check_against_bauteilboerse_and_werkzeug_duplicates","","Bauteilb̦rse Hannover","software_digitaltool/Bauteilboerse_Hannover","software_digitaltool/Bauteilboerse_Hannover","secondary","akteur/Bauteilboerse_Hannover","software_digitaltool/Bauteilboerse_Hannover; tooltyp/Bauteilboerse; beschaffungsweg/Bauteilboerse; ressourcenquelle/Bauteilboerse"
"akteur\06_bauteilboersen_marktplaetze_handel\Bauteilnetz_Deutschland.md","semantic_split","market_actor_platform_overlap;check_against_bauteilboerse_and_werkzeug_duplicates","","","akteur/Bauteilnetz_Deutschland","akteur/Bauteilnetz_Deutschland","primary","akteur/Bauteilnetz_Deutschland","software_digitaltool/Bauteilnetz_Deutschland; tooltyp/Bauteilboerse; beschaffungsweg/Bauteilboerse; ressourcenquelle/Bauteilboerse"
"akteur\06_bauteilboersen_marktplaetze_handel\Bauteilnetz_Deutschland.md","semantic_split","market_actor_platform_overlap;check_against_bauteilboerse_and_werkzeug_duplicates","","","software_digitaltool/Bauteilnetz_Deutschland","software_digitaltool/Bauteilnetz_Deutschland","secondary","akteur/Bauteilnetz_Deutschland","software_digitaltool/Bauteilnetz_Deutschland; tooltyp/Bauteilboerse; beschaffungsweg/Bauteilboerse; ressourcenquelle/Bauteilboerse"
"akteur\06_bauteilboersen_marktplaetze_handel\Lindner_Group_ReUsed_Products.md","semantic_split","market_actor_platform_overlap;check_against_bauteilboerse_and_werkzeug_duplicates","","","akteur/Lindner_Group_ReUsed_Products","akteur/Lindner_Group_ReUsed_Products","primary","akteur/Lindner_Group_ReUsed_Products","software_digitaltool/Lindner_Group_ReUsed_Products; tooltyp/Bauteilboerse; beschaffungsweg/Bauteilboerse; ressourcenquelle/Bauteilboerse"
"akteur\06_bauteilboersen_marktplaetze_handel\Lindner_Group_ReUsed_Products.md","semantic_split","market_actor_platform_overlap;check_against_bauteilboerse_and_werkzeug_duplicates","","","software_digitaltool/Lindner_Group_ReUsed_Products","software_digitaltool/Lindner_Group_ReUsed_Products","secondary","akteur/Lindner_Group_ReUsed_Products","software_digitaltool/Lindner_Group_ReUsed_Products; tooltyp/Bauteilboerse; beschaffungsweg/Bauteilboerse; ressourcenquelle/Bauteilboerse"
