"legacy_path","action","risk_flags","legacy_type","map_title","raw_target","canonical_target","target_role","target_primary","target_secondary"
"bauteilboerse\loopfront.md","split_platform_profile","duplicate_with_akteur_or_werkzeug","BauteilbÃ¶rse","Loopfront","software_digitaltool/loopfront","software_digitaltool/Loopfront","primary","software_digitaltool/loopfront","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\materialenbank-leuven-atelier-circuler.md","split_platform_profile","duplicate_with_akteur_or_werkzeug","BauteilbÃ¶rse","Materialenbank Leuven / Atelier Circuler","software_digitaltool/materialenbank_leuven_atelier_circuler","software_digitaltool/materialenbank_leuven_atelier_circuler","primary","software_digitaltool/materialenbank_leuven_atelier_circuler","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\material-index.md","split_platform_profile","duplicate_with_akteur_or_werkzeug","BauteilbÃ¶rse","Material Index","software_digitaltool/material_index","software_digitaltool/Material_Index","primary","software_digitaltool/material_index","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\materialrest24.md","split_platform_profile","duplicate_with_akteur_or_werkzeug","BauteilbÃ¶rse","Materialrest24","software_digitaltool/materialrest24","software_digitaltool/materialrest24","primary","software_digitaltool/materialrest24","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\material-reuse-portal.md","split_platform_profile","duplicate_with_akteur_or_werkzeug","BauteilbÃ¶rse","Material Reuse Portal","software_digitaltool/material_reuse_portal","software_digitaltool/Material_Reuse_Portal","primary","software_digitaltool/material_reuse_portal","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\oogstkaart-new-horizon.md","split_platform_profile","duplicate_with_akteur_or_werkzeug","BauteilbÃ¶rse","Oogstkaart / New Horizon","software_digitaltool/oogstkaart_new_horizon","software_digitaltool/oogstkaart_new_horizon","primary","software_digitaltool/oogstkaart_new_horizon","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\raedificare.md","split_platform_profile","duplicate_with_akteur_or_werkzeug","BauteilbÃ¶rse","RAEDIFICARE","software_digitaltool/raedificare","software_digitaltool/raedificare","primary","software_digitaltool/raedificare","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\reempro.md","split_platform_profile","duplicate_with_akteur_or_werkzeug","BauteilbÃ¶rse","RÃ©empro","software_digitaltool/reempro","software_digitaltool/reempro","primary","software_digitaltool/reempro","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\resource-marktplaats.md","split_platform_profile","duplicate_with_akteur_or_werkzeug","BauteilbÃ¶rse","ReSource Marktplaats","software_digitaltool/resource_marktplaats","software_digitaltool/resource_marktplaats","primary","software_digitaltool/resource_marktplaats","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\restado.md","split_platform_profile","duplicate_with_akteur_or_werkzeug","BauteilbÃ¶rse","Restado","software_digitaltool/restado","software_digitaltool/Restado","primary","software_digitaltool/restado","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\re-store-harvestmap-vienna.md","split_platform_profile","duplicate_with_akteur_or_werkzeug","BauteilbÃ¶rse","re:store / HarvestMAP Vienna","software_digitaltool/re_store_harvestmap_vienna","software_digitaltool/re_store_harvestmap_vienna","primary","software_digitaltool/re_store_harvestmap_vienna","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\reuse-and-trade.md","split_platform_profile","duplicate_with_akteur_or_werkzeug","BauteilbÃ¶rse","ReUse and Trade","software_digitaltool/reuse_and_trade","software_digitaltool/reuse_and_trade","primary","software_digitaltool/reuse_and_trade","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\rotordc.md","split_platform_profile","duplicate_with_akteur_or_werkzeug","BauteilbÃ¶rse","RotorDC","software_digitaltool/rotordc","software_digitaltool/RotorDC","primary","software_digitaltool/rotordc","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\r-place.md","split_platform_profile","duplicate_with_akteur_or_werkzeug","BauteilbÃ¶rse","R-Place","software_digitaltool/r_place","software_digitaltool/r_place","primary","software_digitaltool/r_place","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\salvoweb.md","split_platform_profile","duplicate_with_akteur_or_werkzeug","BauteilbÃ¶rse","SalvoWEB","software_digitaltool/salvoweb","software_digitaltool/SalvoWEB","primary","software_digitaltool/salvoweb","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\salza.md","split_platform_profile","duplicate_with_akteur_or_werkzeug","BauteilbÃ¶rse","Salza","software_digitaltool/salza","software_digitaltool/salza","primary","software_digitaltool/salza","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\skop-marketplace.md","split_platform_profile","duplicate_with_akteur_or_werkzeug","BauteilbÃ¶rse","Skop Marketplace","software_digitaltool/skop_marketplace","software_digitaltool/skop_marketplace","primary","software_digitaltool/skop_marketplace","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\surplus-building-and-plumbing-materials.md","split_platform_profile","duplicate_with_akteur_or_werkzeug","BauteilbÃ¶rse","Surplus Building & Plumbing Materials","software_digitaltool/surplus_building_and_plumbing_materials","software_digitaltool/surplus_building_and_plumbing_materials","primary","software_digitaltool/surplus_building_and_plumbing_materials","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\sustainability-yard.md","split_platform_profile","duplicate_with_akteur_or_werkzeug","BauteilbÃ¶rse","Sustainability Yard","software_digitaltool/sustainability_yard","software_digitaltool/sustainability_yard","primary","software_digitaltool/sustainability_yard","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\useagain-bauteilclick.md","split_platform_profile","duplicate_with_akteur_or_werkzeug","BauteilbÃ¶rse","useagain / Bauteilclick","software_digitaltool/useagain_bauteilclick","software_digitaltool/useagain_bauteilclick","primary","software_digitaltool/useagain_bauteilclick","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilboerse\warp-it.md","split_platform_profile","duplicate_with_akteur_or_werkzeug","BauteilbÃ¶rse","Warp It","software_digitaltool/warp_it","software_digitaltool/warp_it","primary","software_digitaltool/warp_it","akteur/<operator_if_named>; beschaffungsweg/Digitale_Plattform; ressourcenquelle/Bauteilboerse; plattformfunktion/Material_Matching"
"bauteilbörse.md","merge_into_index","old_type_stub_only","Type","BauteilbÃ¶rse","software_digitaltool/index","software_digitaltool/index","primary","software_digitaltool/index","tooltyp/Digitale_Bauteilboerse; beschaffungsweg/Digitale_Plattform"
"dirk-hebel.md","move_as_core","","Person","Dirk Hebel","akteur/Dirk_Hebel","akteur/Dirk_Hebel","primary","akteur/Dirk_Hebel","akteurtyp/Person"
"dokument\Opalis_Datenbank.md","move_as_knot","","Dokument","","software_digitaltool/Opalis","software_digitaltool/Opalis","primary","software_digitaltool/Opalis","datenmodell/Materialdatenbank"
"fallstudie\Opalis.md","keep_or_split_case","","Fallstudie","","software_digitaltool/Opalis","software_digitaltool/Opalis","primary","software_digitaltool/Opalis","fallstudie/Opalis_Plattformfall"
"fallstudie\PREUSE.md","keep_or_split_case","","Fallstudie","PREUSE â€“ Public Responses to Enable the Use of Salvaged Building Elements","foerderprogramm/PREUSE","foerderprogramm/PREUSE","primary","foerderprogramm/PREUSE","projekt/PREUSE"
"foerderprogramm\BBSM.md","move_as_core_or_context","","FÃ¶rderprogramm","BBSM â€“ Le BÃ¢ti Bruxellois, Source de nouveaux MatÃ©riaux","foerderprogramm/BBSM","foerderprogramm/BBSM","primary","foerderprogramm/BBSM",""
"foerderprogramm\FCRBE.md","move_as_core_or_context","","FÃ¶rderprogramm","FCRBE â€“ Facilitating the Circulation of Reclaimed Building Elements in Northwestern Europe","foerderprogramm/FCRBE","foerderprogramm/FCRBE","primary","foerderprogramm/FCRBE",""
"foerderprogramm\index.md","merge_into_index","index_content_may_contain_unique_gaps_or_cluster_lists","FÃ¶rderprogramm","Index","foerderprogramm/index","foerderprogramm/index","primary","foerderprogramm/index",""
"foerderprogramm\PREUSE.md","move_as_core_or_context","","FÃ¶rderprogramm","PREUSE â€“ Public Responses to Enable the Use of Salvaged Building Elements","foerderprogramm/PREUSE","foerderprogramm/PREUSE","primary","foerderprogramm/PREUSE",""
"foerderprogramm\Reallabor_Be_Ware.md","move_as_core_or_context","","FÃ¶rderprogramm","Reallabor B(e) Ware â€“ GebÃ¤udetragwerke aus SekundÃ¤rmaterialien Made in Berlin","foerderprogramm/Reallabor_Be_Ware","foerderprogramm/Reallabor_Be_Ware","primary","foerderprogramm/Reallabor_Be_Ware",""
"foerderprogramm\Zukunftbau.md","move_as_core_or_context","","FÃ¶rderprogramm","","foerderprogramm/Zukunftbau","foerderprogramm/Zukunftbau","primary","foerderprogramm/Zukunftbau",""
"förderprogramm.md","merge_into_index","old_schema_file_not_content_node","Type","FÃ¶rderprogramm","foerderprogramm/index","foerderprogramm/index","primary","foerderprogramm/index",""
"kerstin-müller.md","move_as_core","","Person","Kerstin MÃ¼ller","akteur/Kerstin_Mueller","akteur/Kerstin_Mueller","primary","akteur/Kerstin_Mueller","akteurtyp/Person"
"nachhaltiges-bauen.md","move_as_core","very_short_profile_needs_enrichment","Professur","Nachhaltiges Bauen","akteur/Nachhaltiges_Bauen","akteur/Nachhaltiges_Bauen","primary","akteur/Nachhaltiges_Bauen","akteurtyp/Professur; programm_kontext/Lehre_Forschung"
"person.md","merge_into_index","old_schema_file_not_content_node","Type","Person","akteur/index","akteur/index","primary","akteur/index","akteurtyp/Person"
"person\desiree_mann.md","move_as_core","","","DÃ©sirÃ©e / Desiree Mann â€” relevance to reuse","akteur/desiree_mann","akteur/desiree_mann","primary","akteur/desiree_mann","akteurtyp/Person"
"person\ellen_macarthur.md","move_as_core","","","Dame Ellen MacArthur â€” relevance to reuse","akteur/ellen_macarthur","akteur/ellen_macarthur","primary","akteur/ellen_macarthur","akteurtyp/Person"
"person\fred_mudge.md","move_as_core","","","Fred Mudge â€” relevance to reuse","akteur/fred_mudge","akteur/fred_mudge","primary","akteur/fred_mudge","akteurtyp/Person"
"person\gj_bart_van_den_brink.md","move_as_core","","","G.J. / Bart van den Brink â€” relevance to reuse","akteur/gj_bart_van_den_brink","akteur/gj_bart_van_den_brink","primary","akteur/gj_bart_van_den_brink","akteurtyp/Person"
"person\patrick_teuffel.md","move_as_core","","","Patrick Teuffel â€” relevance to reuse","akteur/patrick_teuffel","akteur/patrick_teuffel","primary","akteur/patrick_teuffel","akteurtyp/Person"
"software.md","merge_into_index","old_schema_file_not_content_node","Type","Software","software_digitaltool/index","software_digitaltool/index","primary","software_digitaltool/index","tooltyp/index"
"software\klimaschutz-konfigurator\index.md","move_as_core","nested_index_is_content_node_not_category_index","Software","","software_digitaltool/klimaschutz_konfigurator","software_digitaltool/Klimaschutz_Konfigurator","primary","software_digitaltool/klimaschutz_konfigurator",""
"software\one-click-lca\index.md","move_as_core","nested_index_is_content_node_not_category_index","Software","","software_digitaltool/one_click_lca","software_digitaltool/One_Click_LCA","primary","software_digitaltool/one_click_lca",""
"software\Rhino.md","move_as_core","","Software","","software_digitaltool/Rhino","software_digitaltool/Rhino","primary","software_digitaltool/Rhino",""
"software\sia-261-bezugshöhe\index.md","move_as_core","nested_index_is_content_node_not_category_index","Software","","software_digitaltool/sia_261_bezugshoehe","software_digitaltool/sia_261_bezugshoehe","primary","software_digitaltool/sia_261_bezugshoehe",""
"tool.md","merge_into_index","old_type_stub_only","Type","Tool","software_digitaltool/index","software_digitaltool/index","primary","software_digitaltool/index","tooltyp/index"
"tools\mirakel.md","move_as_core","","Tool","MIRAKEL â€” Mixed Reality and AI for urban mining and reuse assessment","software_digitaltool/mirakel","software_digitaltool/mirakel","primary","software_digitaltool/mirakel",""
"tools\recreate_studio.md","move_as_core","","Tool","ReCreate Studio","software_digitaltool/recreate_studio","software_digitaltool/recreate_studio","primary","software_digitaltool/recreate_studio",""
"werkzeug.md","merge_into_index","old_schema_file_not_content_node","Type","Werkzeug","software_digitaltool/index","software_digitaltool/index","primary","software_digitaltool/index","tooltyp/index"
"werkzeug\BIM.md","semantic_move","may_duplicate_bauteilboerse_or_akteur","Werkzeug","","software_digitaltool/BIM","software_digitaltool/BIM","primary","software_digitaltool/BIM","datenmodell_or_methode_review"
"werkzeug\Bonsai_BlenderBIM.md","semantic_move","may_duplicate_bauteilboerse_or_akteur","Werkzeug","","software_digitaltool/Bonsai_BlenderBIM","software_digitaltool/Bonsai_BlenderBIM","primary","software_digitaltool/Bonsai_BlenderBIM","datenmodell_or_methode_review"
"werkzeug\CMEx.md","semantic_move","may_duplicate_bauteilboerse_or_akteur","Werkzeug","CMEx","software_digitaltool/CMEx","software_digitaltool/CMEx","primary","software_digitaltool/CMEx",""
"werkzeug\Concular_Plattform.md","semantic_move","may_duplicate_bauteilboerse_or_akteur","Werkzeug","","software_digitaltool/Concular_Plattform","software_digitaltool/Concular_Plattform","primary","software_digitaltool/Concular_Plattform",""
"werkzeug\Cycle_Up.md","semantic_move","may_duplicate_bauteilboerse_or_akteur","Werkzeug","Cycle Up","software_digitaltool/Cycle_Up","software_digitaltool/Cycle_Up","primary","software_digitaltool/Cycle_Up",""
"werkzeug\Dataview.md","semantic_move","may_duplicate_bauteilboerse_or_akteur","Werkzeug","","software_digitaltool/Dataview","software_digitaltool/Dataview","primary","software_digitaltool/Dataview",""
"werkzeug\Excess_Materials_Exchange.md","semantic_move","may_duplicate_bauteilboerse_or_akteur","Werkzeug","Excess Materials Exchange","software_digitaltool/Excess_Materials_Exchange","software_digitaltool/Excess_Materials_Exchange","primary","software_digitaltool/Excess_Materials_Exchange",""
"werkzeug\GIS_Urban_Mining.md","semantic_move","may_duplicate_bauteilboerse_or_akteur","Werkzeug","","software_digitaltool/GIS_Urban_Mining","software_digitaltool/GIS_Urban_Mining","primary","software_digitaltool/GIS_Urban_Mining","datenmodell_or_methode_review"
"werkzeug\Globechain.md","semantic_move","may_duplicate_bauteilboerse_or_akteur","Werkzeug","Globechain","software_digitaltool/Globechain","software_digitaltool/Globechain","primary","software_digitaltool/Globechain",""
"werkzeug\IFC_Viewer.md","semantic_move","may_duplicate_bauteilboerse_or_akteur","Werkzeug","","software_digitaltool/IFC_Viewer","software_digitaltool/IFC_Viewer","primary","software_digitaltool/IFC_Viewer",""
"werkzeug\IfcOpenShell.md","semantic_move","may_duplicate_bauteilboerse_or_akteur","Werkzeug","","software_digitaltool/IfcOpenShell","software_digitaltool/IfcOpenShell","primary","software_digitaltool/IfcOpenShell",""
"werkzeug\index.md","merge_into_index","index_content_may_contain_unique_gaps_or_cluster_lists","Werkzeug","Index","software_digitaltool/index","software_digitaltool/index","primary","software_digitaltool/index",""
"werkzeug\Klimaschutz_Konfigurator.md","semantic_move","may_duplicate_bauteilboerse_or_akteur","Werkzeug","","software_digitaltool/Klimaschutz_Konfigurator","software_digitaltool/Klimaschutz_Konfigurator","primary","software_digitaltool/Klimaschutz_Konfigurator",""
"werkzeug\Library_of_Reuse.md","semantic_move","may_duplicate_bauteilboerse_or_akteur","Werkzeug","Library of Reuse","software_digitaltool/Library_of_Reuse","software_digitaltool/Library_of_Reuse","primary","software_digitaltool/Library_of_Reuse",""
"werkzeug\Loopfront.md","semantic_move","may_duplicate_bauteilboerse_or_akteur","Werkzeug","Loopfront","software_digitaltool/Loopfront","software_digitaltool/Loopfront","primary","software_digitaltool/Loopfront",""
"werkzeug\Maconda_Materialpass.md","semantic_move","may_duplicate_bauteilboerse_or_akteur","Werkzeug","","software_digitaltool/Maconda_Materialpass","software_digitaltool/Maconda_Materialpass","primary","software_digitaltool/Maconda_Materialpass",""
"werkzeug\Maconda_ROMULUS.md","semantic_move","may_duplicate_bauteilboerse_or_akteur","Werkzeug","Maconda ROMULUS","software_digitaltool/Maconda_ROMULUS","software_digitaltool/Maconda_ROMULUS","primary","software_digitaltool/Maconda_ROMULUS",""
"werkzeug\Madaster_Plattform.md","semantic_move","may_duplicate_bauteilboerse_or_akteur","Werkzeug","","software_digitaltool/Madaster_Plattform","software_digitaltool/Madaster","primary","software_digitaltool/Madaster_Plattform",""
"werkzeug\Material_Index.md","semantic_move","may_duplicate_bauteilboerse_or_akteur","Werkzeug","Material Index","software_digitaltool/Material_Index","software_digitaltool/Material_Index","primary","software_digitaltool/Material_Index",""
"werkzeug\Material_Reuse_Portal.md","semantic_move","may_duplicate_bauteilboerse_or_akteur","Werkzeug","Material Reuse Portal","software_digitaltool/Material_Reuse_Portal","software_digitaltool/Material_Reuse_Portal","primary","software_digitaltool/Material_Reuse_Portal",""
"werkzeug\Materialdatenbank.md","semantic_move","may_duplicate_bauteilboerse_or_akteur","Werkzeug","","software_digitaltool/Materialdatenbank","software_digitaltool/Materialdatenbank","primary","software_digitaltool/Materialdatenbank",""
"werkzeug\One_Click_Lca.md","semantic_move","may_duplicate_bauteilboerse_or_akteur","Werkzeug","","software_digitaltool/One_Click_Lca","software_digitaltool/One_Click_LCA","primary","software_digitaltool/One_Click_Lca",""
"werkzeug\One_Click_LCA_Building_Circularity.md","semantic_move","may_duplicate_bauteilboerse_or_akteur","Werkzeug","","software_digitaltool/One_Click_LCA_Building_Circularity","software_digitaltool/One_Click_LCA_Building_Circularity","primary","software_digitaltool/One_Click_LCA_Building_Circularity",""
"werkzeug\Opalis_Plattform.md","semantic_move","may_duplicate_bauteilboerse_or_akteur","Werkzeug","","software_digitaltool/Opalis_Plattform","software_digitaltool/Opalis","primary","software_digitaltool/Opalis_Plattform",""
"werkzeug\Platform_CB23.md","semantic_move","may_duplicate_bauteilboerse_or_akteur","Werkzeug","","software_digitaltool/Platform_CB23","software_digitaltool/Platform_CB23","primary","software_digitaltool/Platform_CB23",""
"werkzeug\Pre_Demolition_Audit_Tools.md","semantic_move","may_duplicate_bauteilboerse_or_akteur","Werkzeug","","software_digitaltool/Pre_Demolition_Audit_Tools","software_digitaltool/Pre_Demolition_Audit_Tools","primary","software_digitaltool/Pre_Demolition_Audit_Tools","datenmodell_or_methode_review"
"werkzeug\Qflow.md","semantic_move","may_duplicate_bauteilboerse_or_akteur","Werkzeug","","software_digitaltool/Qflow","software_digitaltool/Qflow","primary","software_digitaltool/Qflow",""
"werkzeug\QR_RFID_Materialtracking.md","semantic_move","may_duplicate_bauteilboerse_or_akteur","Werkzeug","","software_digitaltool/QR_RFID_Materialtracking","software_digitaltool/QR_RFID_Materialtracking","primary","software_digitaltool/QR_RFID_Materialtracking","datenmodell_or_methode_review"
"werkzeug\Restado.md","semantic_move","may_duplicate_bauteilboerse_or_akteur","Werkzeug","restado","software_digitaltool/Restado","software_digitaltool/Restado","primary","software_digitaltool/Restado",""
"werkzeug\ReUse_Toolkit.md","semantic_move","may_duplicate_bauteilboerse_or_akteur","Werkzeug","","software_digitaltool/ReUse_Toolkit","software_digitaltool/ReUse_Toolkit","primary","software_digitaltool/ReUse_Toolkit",""
"werkzeug\Reusefully_LINK.md","semantic_move","may_duplicate_bauteilboerse_or_akteur","Werkzeug","Reusefully LINK","software_digitaltool/Reusefully_LINK","software_digitaltool/Reusefully_LINK","primary","software_digitaltool/Reusefully_LINK",""
"werkzeug\Rheaply.md","semantic_move","may_duplicate_bauteilboerse_or_akteur","Werkzeug","Rheaply","software_digitaltool/Rheaply","software_digitaltool/Rheaply","primary","software_digitaltool/Rheaply",""
"werkzeug\Rhino.md","semantic_move","may_duplicate_bauteilboerse_or_akteur","Werkzeug","","software_digitaltool/Rhino","software_digitaltool/Rhino","primary","software_digitaltool/Rhino",""
"werkzeug\RotorDB.md","semantic_move","may_duplicate_bauteilboerse_or_akteur","Werkzeug","RotorDB","software_digitaltool/RotorDB","software_digitaltool/RotorDB","primary","software_digitaltool/RotorDB",""
"werkzeug\RotorDC.md","semantic_move","may_duplicate_bauteilboerse_or_akteur","Werkzeug","RotorDC","software_digitaltool/RotorDC","software_digitaltool/RotorDC","primary","software_digitaltool/RotorDC",""
"werkzeug\SalvoWEB.md","semantic_move","may_duplicate_bauteilboerse_or_akteur","Werkzeug","SalvoWEB","software_digitaltool/SalvoWEB","software_digitaltool/SalvoWEB","primary","software_digitaltool/SalvoWEB",""
"werkzeug\Speckle.md","semantic_move","may_duplicate_bauteilboerse_or_akteur","Werkzeug","","software_digitaltool/Speckle","software_digitaltool/Speckle","primary","software_digitaltool/Speckle",""
"werkzeug\Superyard.md","semantic_move","may_duplicate_bauteilboerse_or_akteur","Werkzeug","Superyard","software_digitaltool/Superyard","software_digitaltool/Superyard","primary","software_digitaltool/Superyard",""
"werkzeug\Upcyclea.md","semantic_move","may_duplicate_bauteilboerse_or_akteur","Werkzeug","Upcyclea","software_digitaltool/Upcyclea","software_digitaltool/Upcyclea","primary","software_digitaltool/Upcyclea",""
"werkzeug\Urban_Mining_Index.md","semantic_move","may_duplicate_bauteilboerse_or_akteur","Werkzeug","","software_digitaltool/Urban_Mining_Index","software_digitaltool/Urban_Mining_Index","primary","software_digitaltool/Urban_Mining_Index",""
