"legacy_path","exists","covered_after_phase5","action","target_primary","target_secondary"
"akteur\05_reuse_beratung_prozessdienstleister\Concular.md","True","True","semantic_split","akteur/Concular","software_digitaltool/Concular_Plattform; software_digitaltool/Restado; methode/Pre_Deconstruction_Audit; datenmodell/Gebaeuderessourcenpass; beschaffungsweg/Digitale_Plattform"
"akteur\05_reuse_beratung_prozessdienstleister\Drees_und_Sommer.md","True","True","move_as_core","akteur/Drees_und_Sommer","akteurtyp/reuse_beratung_prozessdienstleister"
"akteur\05_reuse_beratung_prozessdienstleister\EPEA.md","True","True","move_as_core","akteur/EPEA","akteurtyp/reuse_beratung_prozessdienstleister"
"akteur\05_reuse_beratung_prozessdienstleister\Zirkular_GmbH.md","True","True","move_as_core","akteur/Zirkular_GmbH","akteurtyp/reuse_beratung_prozessdienstleister"
"akteur\06_bauteilboersen_marktplaetze_handel\Bauteilboerse_Bremen.md","True","True","semantic_split","akteur/Bauteilboerse_Bremen","software_digitaltool/Bauteilboerse_Bremen; tooltyp/Bauteilboerse; beschaffungsweg/Bauteilboerse; ressourcenquelle/Bauteilboerse"
"akteur\06_bauteilboersen_marktplaetze_handel\Bauteilboerse_Hannover.md","True","True","semantic_split","akteur/Bauteilboerse_Hannover","software_digitaltool/Bauteilboerse_Hannover; tooltyp/Bauteilboerse; beschaffungsweg/Bauteilboerse; ressourcenquelle/Bauteilboerse"
"akteur\06_bauteilboersen_marktplaetze_handel\Bauteilnetz_Deutschland.md","True","True","semantic_split","akteur/Bauteilnetz_Deutschland","software_digitaltool/Bauteilnetz_Deutschland; tooltyp/Bauteilboerse; beschaffungsweg/Bauteilboerse; ressourcenquelle/Bauteilboerse"
"akteur\06_bauteilboersen_marktplaetze_handel\Lindner_Group_ReUsed_Products.md","True","True","semantic_split","akteur/Lindner_Group_ReUsed_Products","software_digitaltool/Lindner_Group_ReUsed_Products; tooltyp/Bauteilboerse; beschaffungsweg/Bauteilboerse; ressourcenquelle/Bauteilboerse"
"akteur\06_bauteilboersen_marktplaetze_handel\Restado.md","True","True","semantic_split","akteur/Restado","software_digitaltool/Restado; tooltyp/Bauteilboerse; beschaffungsweg/Bauteilboerse; ressourcenquelle/Bauteilboerse"
"akteur\06_bauteilboersen_marktplaetze_handel\Rotor_DC.md","True","True","semantic_split","akteur/Rotor_DC","software_digitaltool/Rotor_DC; tooltyp/Bauteilboerse; beschaffungsweg/Bauteilboerse; ressourcenquelle/Bauteilboerse"
"akteur\07_materialinitiativen_hubs\BIZH.md","True","True","move_as_core","akteur/BIZH","akteurtyp/materialinitiativen_hubs"
"akteur\07_materialinitiativen_hubs\CRCLR_House.md","True","True","move_as_core","akteur/CRCLR_House","akteurtyp/materialinitiativen_hubs"
