"legacy_path","exists","covered_after_phase5","action","target_primary","target_secondary"
"foerderprogramm\BBSM.md","True","True","move_as_core_or_context","foerderprogramm/BBSM",""
"foerderprogramm\FCRBE.md","True","True","move_as_core_or_context","foerderprogramm/FCRBE",""
"foerderprogramm\index.md","True","True","merge_into_index","foerderprogramm/index",""
"foerderprogramm\PREUSE.md","True","True","move_as_core_or_context","foerderprogramm/PREUSE",""
"foerderprogramm\Reallabor_Be_Ware.md","True","True","move_as_core_or_context","foerderprogramm/Reallabor_Be_Ware",""
"foerderprogramm\Zukunftbau.md","True","True","move_as_core_or_context","foerderprogramm/Zukunftbau",""
"förderprogramm.md","True","True","merge_into_index","foerderprogramm/index",""
"gastprofessur.md","True","True","merge_into_index","akteurtyp/Gastprofessur","programm_kontext/Lehre_Forschung"
"gebaeude\Altes_Hobelwerk_Winterthur.md","True","True","split_into_case_graph","fallstudie/Altes_Hobelwerk_Winterthur","projekt/Altes_Hobelwerk_Winterthur; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"gebaeude\Analyse_Entitaeten_Erweiterung_Gebaeude_Fallstudien.md","True","True","archive_as_source","90_import_rohdaten/Analyse_Entitaeten_Erweiterung_Gebaeude_Fallstudien",""
"gebaeude\Areal_Walkeweg_Nord.md","True","True","split_into_case_graph","fallstudie/Areal_Walkeweg_Nord","projekt/Areal_Walkeweg_Nord; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"gebaeude\Bestandshalle_CRCLR_House.md","True","True","split_into_case_graph","fallstudie/Bestandshalle_CRCLR_House","projekt/Bestandshalle_CRCLR_House; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"gebaeude\BOELL_LAB_Berlin.md","True","True","split_into_case_graph","fallstudie/BOELL_LAB_Berlin","projekt/BOELL_LAB_Berlin; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"gebaeude\Da_Vinci_Business_District.md","True","True","split_into_case_graph","fallstudie/Da_Vinci_Business_District","projekt/Da_Vinci_Business_District; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"gebaeude\Elementa.md","True","True","split_into_case_graph","fallstudie/Elementa","projekt/Elementa; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"gebaeude\ELYS_Kultur_und_Gewerbehaus_Basel_Lysbuechelareal.md","True","True","split_into_case_graph","fallstudie/ELYS_Kultur_und_Gewerbehaus_Basel_Lysbuechelareal","projekt/ELYS_Kultur_und_Gewerbehaus_Basel_Lysbuechelareal; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"gebaeude\gebäude_wiederverwendung_direct_reuse_examples.md","True","True","archive_as_source","90_import_rohdaten/gebaeude_wiederverwendung_direct_reuse_examples",""
"gebaeude\gebäude2_wiederverwendung_direct_reuse_examples.md","True","True","archive_as_source","90_import_rohdaten/gebaeude2_wiederverwendung_direct_reuse_examples",""
"gebaeude\gebäude3_wiederverwendung_direct_reuse_examples.md","True","True","archive_as_source","90_import_rohdaten/gebaeude3_wiederverwendung_direct_reuse_examples",""
"gebaeude\gebäude4_wiederverwendung_direct_reuse_examples.md","True","True","archive_as_source","90_import_rohdaten/gebaeude4_wiederverwendung_direct_reuse_examples",""
"gebaeude\Hobelwerk_Haus_D_Oberwinterthur.md","True","True","split_into_case_graph","fallstudie/Hobelwerk_Haus_D_Oberwinterthur","projekt/Hobelwerk_Haus_D_Oberwinterthur; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"gebaeude\index.md","True","True","merge_into_index","bauobjekt_and_fallstudie/index",""
"gebaeude\K118_Kopfbau_Halle_118_Winterthur.md","True","True","split_into_case_graph","fallstudie/K118_Kopfbau_Halle_118_Winterthur","projekt/K118_Kopfbau_Halle_118_Winterthur; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"gebaeude\Kindl_Areal.md","True","True","split_into_case_graph","fallstudie/Kindl_Areal","projekt/Kindl_Areal; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"gebaeude\Lysbuechel_Parkhaus.md","True","True","split_into_case_graph","fallstudie/Lysbuechel_Parkhaus","projekt/Lysbuechel_Parkhaus; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"gebaeude\LysP8_Basel_Lysbuechelareal.md","True","True","split_into_case_graph","fallstudie/LysP8_Basel_Lysbuechelareal","projekt/LysP8_Basel_Lysbuechelareal; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"gebaeude\ReUseBox_Heilbronn.md","True","True","split_into_case_graph","fallstudie/ReUseBox_Heilbronn","projekt/ReUseBox_Heilbronn; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"gebäude.md","True","True","merge_into_index","fallstudie_and_bauobjekt/index",""
"Gebäude\55_Great_Suffolk_Street_London.md","True","True","split_into_case_graph","fallstudie/55_Great_Suffolk_Street_London","projekt/55_Great_Suffolk_Street_London; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Association_house_Groeditz.md","True","True","split_into_case_graph","fallstudie/Association_house_Groeditz","projekt/Association_house_Groeditz; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Association_house_Plauen.md","True","True","split_into_case_graph","fallstudie/Association_house_Plauen","projekt/Association_house_Plauen; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\AWM_Muenster_Circular_Office.md","True","True","split_into_case_graph","fallstudie/AWM_Muenster_Circular_Office","projekt/AWM_Muenster_Circular_Office; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\BedZED_London_Hackbridge.md","True","True","split_into_case_graph","fallstudie/BedZED_London_Hackbridge","projekt/BedZED_London_Hackbridge; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Berlin_Schildow_Pilot_House.md","True","True","split_into_case_graph","fallstudie/Berlin_Schildow_Pilot_House","projekt/Berlin_Schildow_Pilot_House; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Berlin_Schildow_Pilot_House_2.md","True","True","split_into_case_graph","fallstudie/Berlin_Schildow_Pilot_House_2","projekt/Berlin_Schildow_Pilot_House_2; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Bestandverplanzung_Pavilion_Muenchen.md","True","True","split_into_case_graph","fallstudie/Bestandverplanzung_Pavilion_Muenchen","projekt/Bestandverplanzung_Pavilion_Muenchen; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Big_Dig_Building_Boston.md","True","True","split_into_case_graph","fallstudie/Big_Dig_Building_Boston","projekt/Big_Dig_Building_Boston; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Big_Dig_House_Lexington_Massachusetts.md","True","True","split_into_case_graph","fallstudie/Big_Dig_House_Lexington_Massachusetts","projekt/Big_Dig_House_Lexington_Massachusetts; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\BioPartner_5_Leiden_Oegstgeest.md","True","True","split_into_case_graph","fallstudie/BioPartner_5_Leiden_Oegstgeest","projekt/BioPartner_5_Leiden_Oegstgeest; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\BlueCity_Offices_Rotterdam.md","True","True","split_into_case_graph","fallstudie/BlueCity_Offices_Rotterdam","projekt/BlueCity_Offices_Rotterdam; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Boulder_Fire_Station_3.md","True","True","split_into_case_graph","fallstudie/Boulder_Fire_Station_3","projekt/Boulder_Fire_Station_3; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Brent_Cross_Town_Primary_Substation_London.md","True","True","split_into_case_graph","fallstudie/Brent_Cross_Town_Primary_Substation_London","projekt/Brent_Cross_Town_Primary_Substation_London; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Brighton_Waste_House_Brighton.md","True","True","split_into_case_graph","fallstudie/Brighton_Waste_House_Brighton","projekt/Brighton_Waste_House_Brighton; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Broethen_Twin_House_Hoyerswerda.md","True","True","split_into_case_graph","fallstudie/Broethen_Twin_House_Hoyerswerda","projekt/Broethen_Twin_House_Hoyerswerda; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\CascadeUp_London_secondary_timber_glulam_demonstrator.md","True","True","split_into_case_graph","fallstudie/CascadeUp_London_secondary_timber_glulam_demonstrator","projekt/CascadeUp_London_secondary_timber_glulam_demonstrator; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Charles_Malis_Molenbeek.md","True","True","split_into_case_graph","fallstudie/Charles_Malis_Molenbeek","projekt/Charles_Malis_Molenbeek; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Chiro_d_Itterbeek_Dilbeek.md","True","True","split_into_case_graph","fallstudie/Chiro_d_Itterbeek_Dilbeek","projekt/Chiro_d_Itterbeek_Dilbeek; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Christ_Pavilion_Volkenroda.md","True","True","split_into_case_graph","fallstudie/Christ_Pavilion_Volkenroda","projekt/Christ_Pavilion_Volkenroda; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md","True","True","split_into_case_graph","fallstudie/Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot","projekt/Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Circular_Pavilion_Paris.md","True","True","split_into_case_graph","fallstudie/Circular_Pavilion_Paris","projekt/Circular_Pavilion_Paris; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\CRCLR_House_Impact_Hub_Berlin.md","True","True","split_into_case_graph","fallstudie/CRCLR_House_Impact_Hub_Berlin","projekt/CRCLR_House_Impact_Hub_Berlin; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\ELYS_Kultur_Gewerbehaus_Basel.md","True","True","split_into_case_graph","fallstudie/ELYS_Kultur_Gewerbehaus_Basel","projekt/ELYS_Kultur_Gewerbehaus_Basel; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Europa_Building_Brussels.md","True","True","split_into_case_graph","fallstudie/Europa_Building_Brussels","projekt/Europa_Building_Brussels; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Ferme_du_Rail_Paris.md","True","True","split_into_case_graph","fallstudie/Ferme_du_Rail_Paris","projekt/Ferme_du_Rail_Paris; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\gjG_House_Gentbrugge.md","True","True","split_into_case_graph","fallstudie/gjG_House_Gentbrugge","projekt/gjG_House_Gentbrugge; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Grande_Halle_de_Colombelles.md","True","True","split_into_case_graph","fallstudie/Grande_Halle_de_Colombelles","projekt/Grande_Halle_de_Colombelles; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Grubenstrasse_29_Werkhof_29_Zuerich.md","True","True","split_into_case_graph","fallstudie/Grubenstrasse_29_Werkhof_29_Zuerich","projekt/Grubenstrasse_29_Werkhof_29_Zuerich; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md","True","True","split_into_case_graph","fallstudie/Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere","projekt/Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Hastings_Pier_Visitor_Centre.md","True","True","split_into_case_graph","fallstudie/Hastings_Pier_Visitor_Centre","projekt/Hastings_Pier_Visitor_Centre; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Haus_HOS_Mehrfamilienhaus_Muehlhausen.md","True","True","split_into_case_graph","fallstudie/Haus_HOS_Mehrfamilienhaus_Muehlhausen","projekt/Haus_HOS_Mehrfamilienhaus_Muehlhausen; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Holbein_Gardens_London.md","True","True","split_into_case_graph","fallstudie/Holbein_Gardens_London","projekt/Holbein_Gardens_London; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md","True","True","split_into_case_graph","fallstudie/House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain","projekt/House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Impact_Hub_Berlin_CRCLR_Fitout.md","True","True","split_into_case_graph","fallstudie/Impact_Hub_Berlin_CRCLR_Fitout","projekt/Impact_Hub_Berlin_CRCLR_Fitout; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Institut_de_Botanique_ULg_Liege.md","True","True","split_into_case_graph","fallstudie/Institut_de_Botanique_ULg_Liege","projekt/Institut_de_Botanique_ULg_Liege; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Jeugdkliniek_Ithaka_Emergis_Kloetinge.md","True","True","split_into_case_graph","fallstudie/Jeugdkliniek_Ithaka_Emergis_Kloetinge","projekt/Jeugdkliniek_Ithaka_Emergis_Kloetinge; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Juch_Areal_Recyclingzentrum_Zuerich.md","True","True","split_into_case_graph","fallstudie/Juch_Areal_Recyclingzentrum_Zuerich","projekt/Juch_Areal_Recyclingzentrum_Zuerich; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\K118_Kopfbau_Halle_118_Winterthur.md","True","True","split_into_case_graph","fallstudie/K118_Kopfbau_Halle_118_Winterthur","projekt/K118_Kopfbau_Halle_118_Winterthur; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\KA13_Kristian_Augusts_gate_13_Oslo.md","True","True","split_into_case_graph","fallstudie/KA13_Kristian_Augusts_gate_13_Oslo","projekt/KA13_Kristian_Augusts_gate_13_Oslo; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Kamikatsu_Zero_Waste_Center_Hotel_WHY.md","True","True","split_into_case_graph","fallstudie/Kamikatsu_Zero_Waste_Center_Hotel_WHY","projekt/Kamikatsu_Zero_Waste_Center_Hotel_WHY; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md","True","True","split_into_case_graph","fallstudie/Kindergarten_Moeoeslistrasse_Manegg_Zuerich","projekt/Kindergarten_Moeoeslistrasse_Manegg_Zuerich; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Liander_Alliander_HQ_Duiven.md","True","True","split_into_case_graph","fallstudie/Liander_Alliander_HQ_Duiven","projekt/Liander_Alliander_HQ_Duiven; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Lo_Reninge_Town_Hall_Facade.md","True","True","split_into_case_graph","fallstudie/Lo_Reninge_Town_Hall_Facade","projekt/Lo_Reninge_Town_Hall_Facade; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Lokomotion_Technology_Centre_mini_pilot_Tampere.md","True","True","split_into_case_graph","fallstudie/Lokomotion_Technology_Centre_mini_pilot_Tampere","projekt/Lokomotion_Technology_Centre_mini_pilot_Tampere; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Lycee_Michel_Lucius_Conversion_Luxembourg.md","True","True","split_into_case_graph","fallstudie/Lycee_Michel_Lucius_Conversion_Luxembourg","projekt/Lycee_Michel_Lucius_Conversion_Luxembourg; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Maison_des_Canaux_Paris.md","True","True","split_into_case_graph","fallstudie/Maison_des_Canaux_Paris","projekt/Maison_des_Canaux_Paris; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Maison_DnA_Asse.md","True","True","split_into_case_graph","fallstudie/Maison_DnA_Asse","projekt/Maison_DnA_Asse; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Maison_Vignette_Auderghem.md","True","True","split_into_case_graph","fallstudie/Maison_Vignette_Auderghem","projekt/Maison_Vignette_Auderghem; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Mehrow_Pilot_House.md","True","True","split_into_case_graph","fallstudie/Mehrow_Pilot_House","projekt/Mehrow_Pilot_House; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Melkinlaituri_Primary_School_Daycare_Centre_Helsinki.md","True","True","split_into_case_graph","fallstudie/Melkinlaituri_Primary_School_Daycare_Centre_Helsinki","projekt/Melkinlaituri_Primary_School_Daycare_Centre_Helsinki; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Montessori_Maassluis.md","True","True","split_into_case_graph","fallstudie/Montessori_Maassluis","projekt/Montessori_Maassluis; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Multi_Brussels_Reuse_in_MULTI.md","True","True","split_into_case_graph","fallstudie/Multi_Brussels_Reuse_in_MULTI","projekt/Multi_Brussels_Reuse_in_MULTI; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Musee_de_Folklore_Mouscron.md","True","True","split_into_case_graph","fallstudie/Musee_de_Folklore_Mouscron","projekt/Musee_de_Folklore_Mouscron; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Peoples_Pavilion_Eindhoven.md","True","True","split_into_case_graph","fallstudie/Peoples_Pavilion_Eindhoven","projekt/Peoples_Pavilion_Eindhoven; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Plattenpalast_Berlin.md","True","True","split_into_case_graph","fallstudie/Plattenpalast_Berlin","projekt/Plattenpalast_Berlin; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Plattenvereinigung_Berlin.md","True","True","split_into_case_graph","fallstudie/Plattenvereinigung_Berlin","projekt/Plattenvereinigung_Berlin; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\PLP_London_HQ_Circular_Studio_Fitout.md","True","True","split_into_case_graph","fallstudie/PLP_London_HQ_Circular_Studio_Fitout","projekt/PLP_London_HQ_Circular_Studio_Fitout; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\ReCrete_footbridge_reused_concrete_blocks.md","True","True","split_into_case_graph","fallstudie/ReCrete_footbridge_reused_concrete_blocks","projekt/ReCrete_footbridge_reused_concrete_blocks; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Recyclinghaus_Hannover.md","True","True","split_into_case_graph","fallstudie/Recyclinghaus_Hannover","projekt/Recyclinghaus_Hannover; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Recypark_Demets_Anderlecht.md","True","True","split_into_case_graph","fallstudie/Recypark_Demets_Anderlecht","projekt/Recypark_Demets_Anderlecht; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Resilience_La_Ferme_des_Possibles_Stains.md","True","True","split_into_case_graph","fallstudie/Resilience_La_Ferme_des_Possibles_Stains","projekt/Resilience_La_Ferme_des_Possibles_Stains; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Resource_Rows_Copenhagen.md","True","True","split_into_case_graph","fallstudie/Resource_Rows_Copenhagen","projekt/Resource_Rows_Copenhagen; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Roots_in_the_Sky_Blackfriars_Crown_Court.md","True","True","split_into_case_graph","fallstudie/Roots_in_the_Sky_Blackfriars_Crown_Court","projekt/Roots_in_the_Sky_Blackfriars_Crown_Court; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Saxum_Vineyard_Equipment_Barn_Paso_Robles.md","True","True","split_into_case_graph","fallstudie/Saxum_Vineyard_Equipment_Barn_Paso_Robles","projekt/Saxum_Vineyard_Equipment_Barn_Paso_Robles; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Superlocal_Expogebouw_Bleijerheide.md","True","True","split_into_case_graph","fallstudie/Superlocal_Expogebouw_Bleijerheide","projekt/Superlocal_Expogebouw_Bleijerheide; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Svanen_Kindergarten_Gladsaxe.md","True","True","split_into_case_graph","fallstudie/Svanen_Kindergarten_Gladsaxe","projekt/Svanen_Kindergarten_Gladsaxe; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\The_Green_House_Utrecht.md","True","True","split_into_case_graph","fallstudie/The_Green_House_Utrecht","projekt/The_Green_House_Utrecht; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Thoravej_29_Copenhagen.md","True","True","split_into_case_graph","fallstudie/Thoravej_29_Copenhagen","projekt/Thoravej_29_Copenhagen; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Timber_Square_London.md","True","True","split_into_case_graph","fallstudie/Timber_Square_London","projekt/Timber_Square_London; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\TRAE_High_Rise_Aarhus.md","True","True","split_into_case_graph","fallstudie/TRAE_High_Rise_Aarhus","projekt/TRAE_High_Rise_Aarhus; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Upcycle_Studios_Copenhagen.md","True","True","split_into_case_graph","fallstudie/Upcycle_Studios_Copenhagen","projekt/Upcycle_Studios_Copenhagen; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Verbiest_Karreveld_Brussels.md","True","True","split_into_case_graph","fallstudie/Verbiest_Karreveld_Brussels","projekt/Verbiest_Karreveld_Brussels; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Villa_Welpeloo_Enschede.md","True","True","split_into_case_graph","fallstudie/Villa_Welpeloo_Enschede","projekt/Villa_Welpeloo_Enschede; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Woongroep_Boschgaard_Den_Bosch.md","True","True","split_into_case_graph","fallstudie/Woongroep_Boschgaard_Den_Bosch","projekt/Woongroep_Boschgaard_Den_Bosch; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"Gebäude\Zinneke_Feder_Masui4ever_Brussels.md","True","True","split_into_case_graph","fallstudie/Zinneke_Feder_Masui4ever_Brussels","projekt/Zinneke_Feder_Masui4ever_Brussels; bauobjekt/<from_content>; reuse_einsatz/<per_component>"
"huerde\Ausschreibungsproblem.md","True","True","move_as_knot","huerde/Ausschreibungsproblem",""
"huerde\Brandschutzkonflikt.md","True","True","move_as_knot","huerde/Brandschutzkonflikt",""
"huerde\Datenluecke.md","True","True","move_as_knot","huerde/Datenluecke",""
"huerde\Fehlende_Datenstandards.md","True","True","move_as_knot","huerde/Fehlende_Datenstandards",""
"huerde\Fehlende_Lagerflaeche.md","True","True","move_as_knot","huerde/Fehlende_Lagerflaeche",""
"huerde\Fehlende_Standardisierung.md","True","True","move_as_knot","huerde/Fehlende_Standardisierung",""
"huerde\Gewaehrleistung.md","True","True","move_as_knot","huerde/Gewaehrleistung",""
"huerde\Haftung.md","True","True","move_as_knot","huerde/Haftung",""
"huerde\index.md","True","True","merge_into_index","huerde/index",""
"huerde\Logistikproblem.md","True","True","move_as_knot","huerde/Logistikproblem",""
"huerde\Schadstoffbelastung.md","True","True","move_as_knot","huerde/Schadstoffbelastung",""
"huerde\Terminunsicherheit.md","True","True","move_as_knot","huerde/Terminunsicherheit",""
"huerde\Toleranzen.md","True","True","move_as_knot","huerde/Toleranzen",""
"huerde\Verfuegbarkeitsproblem.md","True","True","move_as_knot","huerde/Verfuegbarkeitsproblem",""
"hürde.md","True","True","merge_into_index","huerde/index",""
"interview.md","True","True","merge_into_index","quelle/index","quellentyp/Interview"
"kennwert.md","True","True","merge_into_index","kennwertdefinition/index",""
"kennwert\CO2_Einsparung.md","True","True","move_as_knot","kennwertdefinition/CO2_Einsparung",""
"kennwert\Demontagegrad.md","True","True","move_as_knot","kennwertdefinition/Demontagegrad",""
"kennwert\Graue_Energie.md","True","True","move_as_knot","kennwertdefinition/Graue_Energie",""
"kennwert\index.md","True","True","merge_into_index","kennwertdefinition/index",""
"kennwert\Materialwert.md","True","True","move_as_knot","kennwertdefinition/Materialwert",""
"kennwert\Wiederverwendungsquote.md","True","True","move_as_knot","kennwertdefinition/Wiederverwendungsquote",""
"kerstin-müller.md","True","True","move_as_core","akteur/Kerstin_Mueller","akteurtyp/Person"
"leistungsanforderung.md","True","True","merge_into_index","leistungsanforderung/index",""
"leistungsanforderung\Brandschutz.md","True","True","move_as_knot","leistungsanforderung/Brandschutz",""
"leistungsanforderung\Dauerhaftigkeit.md","True","True","move_as_knot","leistungsanforderung/Dauerhaftigkeit",""
"leistungsanforderung\Feuchteschutz.md","True","True","move_as_knot","leistungsanforderung/Feuchteschutz",""
"leistungsanforderung\index.md","True","True","merge_into_index","leistungsanforderung/index",""
"leistungsanforderung\Rueckbaubarkeit.md","True","True","move_as_knot","leistungsanforderung/Rueckbaubarkeit",""
"leistungsanforderung\Schadstofffreiheit.md","True","True","move_as_knot","leistungsanforderung/Schadstofffreiheit",""
"leistungsanforderung\Schallschutz.md","True","True","move_as_knot","leistungsanforderung/Schallschutz",""
"leistungsanforderung\Tragfaehigkeit.md","True","True","move_as_knot","leistungsanforderung/Tragfaehigkeit",""
"leistungsanforderung\Waermeschutz.md","True","True","move_as_knot","leistungsanforderung/Waermeschutz",""
"logistik.md","True","True","merge_into_index","logistik/index",""
"logistik\index.md","True","True","merge_into_index","logistik/index",""
"logistik\Lagerflaeche.md","True","True","move_as_knot","logistik/Lagerflaeche",""
"logistik\Lagerung.md","True","True","move_as_knot","logistik/Lagerung",""
"logistik\Materialmatching.md","True","True","move_as_knot","logistik/Materialmatching",""
"logistik\Materialverfuegbarkeit.md","True","True","move_as_knot","logistik/Materialverfuegbarkeit",""
"logistik\ReUse_Centre.md","True","True","move_as_knot","bauobjektklasse/Reuse_Centre","reuse_kettenstation/Reuse_Centre"
"logistik\Transport.md","True","True","move_as_knot","logistik/Transport",""
"logistik\Zwischenlagerung.md","True","True","move_as_knot","logistik/Zwischenlagerung",""
"material.md","True","True","merge_into_index","material/index",""
"material\Beton.md","True","True","move_as_knot","material/Beton",""
"material\Beton-Fertigteile_Verbindungen.md","True","True","split_into_knots","fuegung_verbindung/Beton_Fertigteile_Verbindungen","material/Beton_Fertigteile"
"material\Brettschichtholz.md","True","True","move_as_knot","material/Brettschichtholz",""
"material\Brettsperrholz.md","True","True","move_as_knot","material/Brettsperrholz",""
"material\Composite_Verbindungen.md","True","True","split_into_knots","fuegung_verbindung/Composite_Verbindungen","material/Composite"
"material\Glas.md","True","True","move_as_knot","material/Glas",""
"material\Holz.md","True","True","move_as_knot","material/Holz",""
"material\Holz_Verbindungen.md","True","True","split_into_knots","fuegung_verbindung/Holz_Verbindungen","material/Holz"
"material\index.md","True","True","merge_into_index","material/index",""
"material\Keramik.md","True","True","move_as_knot","material/Keramik",""
"material\Lehm.md","True","True","move_as_knot","material/Lehm",""
"material\Recyclingbeton.md","True","True","move_as_knot","material/Recyclingbeton",""
"material\Sanitarkeramik.md","True","True","move_as_knot","material/Sanitarkeramik",""
"material\Sekundaerstahl.md","True","True","move_as_knot","material/Sekundaerstahl",""
"material\Stahl.md","True","True","move_as_knot","material/Stahl",""
"material\Stahl_Verbindungen.md","True","True","split_into_knots","fuegung_verbindung/Stahl_Verbindungen","material/Stahl"
"material\Stroh.md","True","True","move_as_knot","material/Stroh",""
