"source","relation","target","raw_label","confidence","resolution_rule","legacy_path"
"reuse_einsatz/Berlin_Schildow_Pilot_House_2__008__Dach","has_prozessphase","prozessphase/Aufbereitung","Zuschnitt","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Berlin_Schildow_Pilot_House__001__zugeschnittene_Betonfertigteile","has_prozessphase","prozessphase/Aufbereitung","Zuschnitt/Sägen","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Berlin_Schildow_Pilot_House__002__Deckenplatten","has_prozessphase","prozessphase/Aufbereitung","in Stücke gesägt","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Berlin_Schildow_Pilot_House__003__Innenwandplatten","has_prozessphase","prozessphase/Aufbereitung","in Stücke gesägt","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Berlin_Schildow_Pilot_House__005__Dach_Satteldach","has_prozessphase","prozessphase/Aufbereitung","Zuschnitt","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Bestandverplanzung_Pavilion_Muenchen__001__Fertigteil_Paneele","has_prozessphase","prozessphase/Rueckbau","Demontage, Transport, Wiedereinbau; Details unbekannt","rule_medium","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Bestandverplanzung_Pavilion_Muenchen__001__Fertigteil_Paneele","has_prozessphase","prozessphase/Transport","Demontage, Transport, Wiedereinbau; Details unbekannt","rule_medium","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Bestandverplanzung_Pavilion_Muenchen__001__Fertigteil_Paneele","has_prozessphase","prozessphase/Wiedereinbau","Demontage, Transport, Wiedereinbau; Details unbekannt","rule_medium","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Big_Dig_Building_Boston__001__Boxbeams_Infrastrukturtr_ger","has_prozessphase","prozessphase/Rueckbau","Demontage/Transport/Anpassung geplant","rule_medium","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Big_Dig_Building_Boston__001__Boxbeams_Infrastrukturtr_ger","has_prozessphase","prozessphase/Transport","Demontage/Transport/Anpassung geplant","rule_medium","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Big_Dig_Building_Boston__001__Boxbeams_Infrastrukturtr_ger","has_prozessphase","prozessphase/Aufbereitung","Demontage/Transport/Anpassung geplant","rule_medium","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Big_Dig_Building_Boston__003__Fassaden_Cladding_Elemente","has_prozessphase","prozessphase/Aufbereitung","Anpassung geplant","rule_medium","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/BioPartner_5_Leiden_Oegstgeest__001__Tr_ger_St_tzen_Stahlrahmen","has_prozessphase","prozessphase/Rueckbau","Demontage, kurzer Transport, Bearbeitung/Beschichtung, Wiedermontage","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/BioPartner_5_Leiden_Oegstgeest__001__Tr_ger_St_tzen_Stahlrahmen","has_prozessphase","prozessphase/Transport","Demontage, kurzer Transport, Bearbeitung/Beschichtung, Wiedermontage","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/BioPartner_5_Leiden_Oegstgeest__001__Tr_ger_St_tzen_Stahlrahmen","has_prozessphase","prozessphase/Aufbereitung","Demontage, kurzer Transport, Bearbeitung/Beschichtung, Wiedermontage","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/BioPartner_5_Leiden_Oegstgeest__001__Tr_ger_St_tzen_Stahlrahmen","has_prozessphase","prozessphase/Wiedereinbau","Demontage, kurzer Transport, Bearbeitung/Beschichtung, Wiedermontage","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/BioPartner_5_Leiden_Oegstgeest__003__W_nde_Innenw_nde","has_prozessphase","prozessphase/Rueckbau","Ausbau, Anpassung, Einbau","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/BioPartner_5_Leiden_Oegstgeest__003__W_nde_Innenw_nde","has_prozessphase","prozessphase/Aufbereitung","Ausbau, Anpassung, Einbau","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/BioPartner_5_Leiden_Oegstgeest__003__W_nde_Innenw_nde","has_prozessphase","prozessphase/Wiedereinbau","Ausbau, Anpassung, Einbau","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/BioPartner_5_Leiden_Oegstgeest__004__Fassadenmaterial_Gabionenf_llung","has_prozessphase","prozessphase/Aufbereitung","Brechen/Sichten/Einfüllen","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/BioPartner_5_Leiden_Oegstgeest__005__Bodenbelag_Eingang_Erdgeschoss","has_prozessphase","prozessphase/Aufbereitung","Reinigung, Zuschnitt, Einbau","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/BioPartner_5_Leiden_Oegstgeest__005__Bodenbelag_Eingang_Erdgeschoss","has_prozessphase","prozessphase/Wiedereinbau","Reinigung, Zuschnitt, Einbau","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/BioPartner_5_Leiden_Oegstgeest__006__T_ren","has_prozessphase","prozessphase/Aufbereitung","Reinigung, Anpassung","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/BioPartner_5_Leiden_Oegstgeest__007__Sanit_r","has_prozessphase","prozessphase/Aufbereitung","professionelle Reinigung; Installateur musste überzeugt werden","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/BlueCity_Offices_Rotterdam__001__Fensterrahmen_Red_Cedar_Rahmen","has_prozessphase","prozessphase/Rueckbau","Ernte, Auswahl, Montage; gebrochenes Glas ersetzt","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/BlueCity_Offices_Rotterdam__001__Fensterrahmen_Red_Cedar_Rahmen","has_prozessphase","prozessphase/Identifikation","Ernte, Auswahl, Montage; gebrochenes Glas ersetzt","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/BlueCity_Offices_Rotterdam__001__Fensterrahmen_Red_Cedar_Rahmen","has_prozessphase","prozessphase/Wiedereinbau","Ernte, Auswahl, Montage; gebrochenes Glas ersetzt","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/BlueCity_Offices_Rotterdam__001__Fensterrahmen_Red_Cedar_Rahmen","has_prozessphase","prozessphase/Aufbereitung","Ernte, Auswahl, Montage; gebrochenes Glas ersetzt","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Boulder_Fire_Station_3__001__Wide_flange_beams_structural_steel_members","has_prozessphase","prozessphase/Rueckbau","selektiver Rückbau, Katalogisierung, Reinigung, Vorbereitung, Re-Fabrication","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Boulder_Fire_Station_3__001__Wide_flange_beams_structural_steel_members","has_prozessphase","prozessphase/Identifikation","selektiver Rückbau, Katalogisierung, Reinigung, Vorbereitung, Re-Fabrication","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Boulder_Fire_Station_3__001__Wide_flange_beams_structural_steel_members","has_prozessphase","prozessphase/Aufbereitung","selektiver Rückbau, Katalogisierung, Reinigung, Vorbereitung, Re-Fabrication","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Boulder_Fire_Station_3__002__Stahlstockpile_gesamt","has_prozessphase","prozessphase/Identifikation","Katalogisierung/Stockpile","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Boulder_Fire_Station_3__002__Stahlstockpile_gesamt","has_prozessphase","prozessphase/Lagerung","Katalogisierung/Stockpile","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Brent_Cross_Town_Primary_Substation_London__001__Lange_St_tzen_aus_reclaimed_tubulars","has_prozessphase","prozessphase/Identifikation","Auswahl, Test, ggf. Vorbereitung","rule_medium","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Brent_Cross_Town_Primary_Substation_London__001__Lange_St_tzen_aus_reclaimed_tubulars","has_prozessphase","prozessphase/Pruefung","Auswahl, Test, ggf. Vorbereitung","rule_medium","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Brent_Cross_Town_Primary_Substation_London__001__Lange_St_tzen_aus_reclaimed_tubulars","has_prozessphase","prozessphase/Aufbereitung","Auswahl, Test, ggf. Vorbereitung","rule_medium","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Brent_Cross_Town_Primary_Substation_London__004__Ovaler_Substation_Screen","has_prozessphase","prozessphase/Wiedereinbau","Montage","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Brighton_Waste_House_Brighton__001__Betonbl_cke","has_prozessphase","prozessphase/Identifikation","Sortieren, Einbau","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Brighton_Waste_House_Brighton__001__Betonbl_cke","has_prozessphase","prozessphase/Wiedereinbau","Sortieren, Einbau","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Brighton_Waste_House_Brighton__002__Holz_off_cut_timber","has_prozessphase","prozessphase/Aufbereitung","Zuschnitt, Einbau","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Brighton_Waste_House_Brighton__002__Holz_off_cut_timber","has_prozessphase","prozessphase/Wiedereinbau","Zuschnitt, Einbau","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Brighton_Waste_House_Brighton__003__Sperrholz_ply_sheets","has_prozessphase","prozessphase/Aufbereitung","Zuschnitt","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Brighton_Waste_House_Brighton__004__Teppichfliesen","has_prozessphase","prozessphase/Aufbereitung","Reinigung, Befestigung","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Brighton_Waste_House_Brighton__004__Teppichfliesen","has_prozessphase","prozessphase/Wiedereinbau","Reinigung, Befestigung","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Brighton_Waste_House_Brighton__005__Vinylbanner","has_prozessphase","prozessphase/Aufbereitung","Zuschnitt, Verlegung","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Brighton_Waste_House_Brighton__005__Vinylbanner","has_prozessphase","prozessphase/Wiedereinbau","Zuschnitt, Verlegung","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Brighton_Waste_House_Brighton__006__Zahnb_rsten","has_prozessphase","prozessphase/Aufbereitung","Sammeln, Reinigen unbekannt, Einfüllen","rule_medium","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Brighton_Waste_House_Brighton__007__Denim_jeans","has_prozessphase","prozessphase/Aufbereitung","Einfüllen","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Brighton_Waste_House_Brighton__008__Videokassetten_DVD_cases_Floppy_Discs","has_prozessphase","prozessphase/Identifikation","Sortieren, Einfüllen","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Brighton_Waste_House_Brighton__008__Videokassetten_DVD_cases_Floppy_Discs","has_prozessphase","prozessphase/Aufbereitung","Sortieren, Einfüllen","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Brighton_Waste_House_Brighton__010__Kaffeesatz_Arbeitsplatte","has_prozessphase","prozessphase/Aufbereitung","Verarbeitung zu Platte","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Brighton_Waste_House_Brighton__011__Duvets_Bettdecken","has_prozessphase","prozessphase/Wiedereinbau","Einbau bei späterem Makeover","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Broethen_Twin_House_Hoyerswerda__001__Wandplatten","has_prozessphase","prozessphase/Rueckbau","Demontage, Reinigung, ggf. Anpassung unbekannt","rule_medium","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Broethen_Twin_House_Hoyerswerda__001__Wandplatten","has_prozessphase","prozessphase/Aufbereitung","Demontage, Reinigung, ggf. Anpassung unbekannt","rule_medium","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Broethen_Twin_House_Hoyerswerda__002__Deckenplatten","has_prozessphase","prozessphase/Rueckbau","Demontage, Reinigung","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Broethen_Twin_House_Hoyerswerda__002__Deckenplatten","has_prozessphase","prozessphase/Aufbereitung","Demontage, Reinigung","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/CRCLR_House_Impact_Hub_Berlin__001__Stahlpfetten_I_Tr_ger","has_prozessphase","prozessphase/Rueckbau","demontiert, Proben, Zugversuch, chemische Analyse, entrostet, Korrosionsschutz","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/CRCLR_House_Impact_Hub_Berlin__002__Stahlfachwerktr_ger","has_prozessphase","prozessphase/Rueckbau","demontiert und geprüft","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/CRCLR_House_Impact_Hub_Berlin__006__Holzgalerie_Innenausbau","has_prozessphase","prozessphase/Aufbereitung","Zuschnitt; Holzständerraster 62,5 cm","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/CascadeUp_London_secondary_timber_glulam_demonstrator__001__Tragwerksrahmen_Balken_St_tzen","has_prozessphase","prozessphase/Aufbereitung","Vorbereitung und Remanufacturing zu glulamST","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/CascadeUp_London_secondary_timber_glulam_demonstrator__002__Wandpaneele","has_prozessphase","prozessphase/Aufbereitung","Remanufacturing zu CLST","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/CascadeUp_London_secondary_timber_glulam_demonstrator__003__Bodenpaneele","has_prozessphase","prozessphase/Aufbereitung","Remanufacturing","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Charles_Malis_Molenbeek__001__Bodenpflaster_Bruseleye_tiles","has_prozessphase","prozessphase/Rueckbau","zurückgewonnen und neu zugeschnitten","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Charles_Malis_Molenbeek__002__Leuchten","has_prozessphase","prozessphase/Aufbereitung","Wiederverwendung / ggf. elektrische Aufbereitung","rule_medium","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__001__Fassadenziegel","has_prozessphase","prozessphase/Aufbereitung","Reinigen/Sortieren nicht detailliert","rule_medium","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__003__Dachziegel","has_prozessphase","prozessphase/Identifikation","Sortieren","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__006__Bodenfliesen","has_prozessphase","prozessphase/Aufbereitung","Reinigung","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__007__Wandfliesen","has_prozessphase","prozessphase/Aufbereitung","Reinigung","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Christ_Pavilion_Volkenroda__001__gesamtes_Pavillonensemble","has_prozessphase","prozessphase/Rueckbau","demontiert und in Volkenroda wiederaufgebaut","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Christ_Pavilion_Volkenroda__001__gesamtes_Pavillonensemble","has_prozessphase","prozessphase/Wiedereinbau","demontiert und in Volkenroda wiederaufgebaut","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Christ_Pavilion_Volkenroda__002__Dachtragwerk_Christusraum","has_prozessphase","prozessphase/Rueckbau","Abbau/Wiederaufbau","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Christ_Pavilion_Volkenroda__002__Dachtragwerk_Christusraum","has_prozessphase","prozessphase/Wiedereinbau","Abbau/Wiederaufbau","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Christ_Pavilion_Volkenroda__004__Marmor_Glas_Wand_Christusraum","has_prozessphase","prozessphase/Rueckbau","Abbau/Wiederaufbau","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Christ_Pavilion_Volkenroda__004__Marmor_Glas_Wand_Christusraum","has_prozessphase","prozessphase/Wiedereinbau","Abbau/Wiederaufbau","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Christ_Pavilion_Volkenroda__005__Kreuzgang","has_prozessphase","prozessphase/Rueckbau","Abbau/Wiederaufbau","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Christ_Pavilion_Volkenroda__005__Kreuzgang","has_prozessphase","prozessphase/Wiedereinbau","Abbau/Wiederaufbau","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Christ_Pavilion_Volkenroda__006__Glasfassade_Vitrinen","has_prozessphase","prozessphase/Wiedereinbau","wiederaufgebaut","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Christ_Pavilion_Volkenroda__007__Sichtbetonteile","has_prozessphase","prozessphase/Rueckbau","Abbau/Wiederaufbau, soweit Teil des translozierten Ensembles","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
"reuse_einsatz/Christ_Pavilion_Volkenroda__007__Sichtbetonteile","has_prozessphase","prozessphase/Wiedereinbau","Abbau/Wiederaufbau, soweit Teil des translozierten Ensembles","rule_high","label_50d_prozessphase_eingriff_aufbereitung",""
